Fichier;ID;Nb retweet;Nb like;Nb réponses;Nb citations;Hashtags;Texte;Mots;Phrases;Tags POS;Sentiment;Polarité;Subjectivité;Phrases nominales;Texte corrigé;Texte tokénizé
1432163370669596672.json;1432163370669596672;0;1;1;0;['#VACCINE', '#COVID19', '#CHILDREN', '#MASK'];Data doesn't lie. This virus does not effect children like it does adults. We need to think about the ramifications of forcing masks on children. I shudder to think what happens when they come out with a vaccine for children under 12 #vaccine #COVID19 #Children #mask https://t.co/Lt0NmAFdp4;"['Data', 'does', ""n't"", 'lie', 'This', 'virus', 'does', 'not', 'effect', 'children', 'like', 'it', 'does', 'adults', 'We', 'need', 'to', 'think', 'about', 'the', 'ramifications', 'of', 'forcing', 'masks', 'on', 'children', 'I', 'shudder', 'to', 'think', 'what', 'happens', 'when', 'they', 'come', 'out', 'with', 'a', 'vaccine', 'for', 'children', 'under', '12', 'vaccine', 'COVID19', 'Children', 'mask', 'https', 't.co/Lt0NmAFdp4']";"[Sentence(""Data doesn't lie.""), Sentence(""This virus does not effect children like it does adults.""), Sentence(""We need to think about the ramifications of forcing masks on children.""), Sentence(""I shudder to think what happens when they come out with a vaccine for children under 12 #vaccine #COVID19 #Children #mask https://t.co/Lt0NmAFdp4"")]";"[('Data', 'NNP'), ('does', 'VBZ'), (""n't"", 'RB'), ('lie', 'VB'), ('This', 'DT'), ('virus', 'NN'), ('does', 'VBZ'), ('not', 'RB'), ('effect', 'NN'), ('children', 'NNS'), ('like', 'IN'), ('it', 'PRP'), ('does', 'VBZ'), ('adults', 'NNS'), ('We', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('think', 'VB'), ('about', 'IN'), ('the', 'DT'), ('ramifications', 'NNS'), ('of', 'IN'), ('forcing', 'VBG'), ('masks', 'NNS'), ('on', 'IN'), ('children', 'NNS'), ('I', 'PRP'), ('shudder', 'VBP'), ('to', 'TO'), ('think', 'VB'), ('what', 'WP'), ('happens', 'VBZ'), ('when', 'WRB'), ('they', 'PRP'), ('come', 'VBP'), ('out', 'RP'), ('with', 'IN'), ('a', 'DT'), ('vaccine', 'NN'), ('for', 'IN'), ('children', 'NNS'), ('under', 'IN'), ('12', 'CD'), ('vaccine', 'NN'), ('COVID19', 'NNP'), ('Children', 'NNP'), ('mask', 'NN'), ('https', 'NN'), ('//t.co/Lt0NmAFdp4', 'NN')]";Sentiment(polarity=0.0, subjectivity=0.0);0.0;0.0;"['data', ""n't lie"", 'effect children', '# vaccine #', 'covid19', '# mask https']";Data doesn't lie. His virus does not effect children like it does adults. He need to think about the ratification of forcing mass on children. I shudder to think what happens when they come out with a vaccine for children under 12 #vaccine #COVID19 #Children #mask http://t.co/Lt0NmAFdp4;"['Data', 'does', ""n't"", 'lie', '.', 'This', 'virus', 'does', 'not', 'effect', 'children', 'like', 'it', 'does', 'adults', '.', 'We', 'need', 'to', 'think', 'about', 'the', 'ramifications', 'of', 'forcing', 'masks', 'on', 'children', '.', 'I', 'shudder', 'to', 'think', 'what', 'happens', 'when', 'they', 'come', 'out', 'with', 'a', 'vaccine', 'for', 'children', 'under', '12', '#', 'vaccine', '#', 'COVID19', '#', 'Children', '#', 'mask', 'https', ':', '//t.co/Lt0NmAFdp4']"
1361269067441713153.json;1361269067441713153;0;0;0;0;['#COVID19', '#CORONAVIRUS', '#HEALTH', '#HEALTHCARE', '#VACCINE', '#PANDEMIC', '#RESEARCH', '#PHARMACEUTICALS', '#OXFORDASTRAZENECA', '#CHILDREN'];"A new trial is to test how well the Oxford-AstraZeneca coronavirus vaccine works in children aged between six and seventeen.
https://t.co/lajrj53eOl

#Covid19 #Coronavirus #Health #Healthcare #Vaccine #Pandemic #Research #Pharmaceuticals #OxfordAstraZeneca #Children https://t.co/BsqvAb6Btv";['A', 'new', 'trial', 'is', 'to', 'test', 'how', 'well', 'the', 'Oxford-AstraZeneca', 'coronavirus', 'vaccine', 'works', 'in', 'children', 'aged', 'between', 'six', 'and', 'seventeen', 'https', 't.co/lajrj53eOl', 'Covid19', 'Coronavirus', 'Health', 'Healthcare', 'Vaccine', 'Pandemic', 'Research', 'Pharmaceuticals', 'OxfordAstraZeneca', 'Children', 'https', 't.co/BsqvAb6Btv'];"[Sentence(""A new trial is to test how well the Oxford-AstraZeneca coronavirus vaccine works in children aged between six and seventeen.""), Sentence(""https://t.co/lajrj53eOl

#Covid19 #Coronavirus #Health #Healthcare #Vaccine #Pandemic #Research #Pharmaceuticals #OxfordAstraZeneca #Children https://t.co/BsqvAb6Btv"")]";[('A', 'DT'), ('new', 'JJ'), ('trial', 'NN'), ('is', 'VBZ'), ('to', 'TO'), ('test', 'VB'), ('how', 'WRB'), ('well', 'RB'), ('the', 'DT'), ('Oxford-AstraZeneca', 'NNP'), ('coronavirus', 'NN'), ('vaccine', 'NN'), ('works', 'VBZ'), ('in', 'IN'), ('children', 'NNS'), ('aged', 'VBN'), ('between', 'IN'), ('six', 'CD'), ('and', 'CC'), ('seventeen', 'NNS'), ('https', 'NN'), ('//t.co/lajrj53eOl', 'JJ'), ('Covid19', 'NNP'), ('Coronavirus', 'NNP'), ('Health', 'NNP'), ('Healthcare', 'NNP'), ('Vaccine', 'NNP'), ('Pandemic', 'NNP'), ('Research', 'NNP'), ('Pharmaceuticals', 'NNP'), ('OxfordAstraZeneca', 'NNP'), ('Children', 'NNP'), ('https', 'NN'), ('//t.co/BsqvAb6Btv', 'NN')];Sentiment(polarity=0.018181818181818174, subjectivity=0.42727272727272725);0.018181818181818174;0.42727272727272725;['new trial', 'oxford-astrazeneca', 'coronavirus vaccine', '//t.co/lajrj53eol #', 'covid19', 'coronavirus', '# health #', 'healthcare', 'vaccine', 'pandemic', '# research #', 'pharmaceuticals', 'oxfordastrazeneca'];"A new trial is to test how well the Oxford-AstraZeneca coronavirus vaccine works in children aged between six and seventeen.
http://t.co/lajrj53eOl

#Covid19 #Coronavirus #Health #Healthcare #Vaccine #Anaemic #Research #Pharmaceuticals #OxfordAstraZeneca #Children http://t.co/BsqvAb6Btv";['A', 'new', 'trial', 'is', 'to', 'test', 'how', 'well', 'the', 'Oxford-AstraZeneca', 'coronavirus', 'vaccine', 'works', 'in', 'children', 'aged', 'between', 'six', 'and', 'seventeen', '.', 'https', ':', '//t.co/lajrj53eOl', '#', 'Covid19', '#', 'Coronavirus', '#', 'Health', '#', 'Healthcare', '#', 'Vaccine', '#', 'Pandemic', '#', 'Research', '#', 'Pharmaceuticals', '#', 'OxfordAstraZeneca', '#', 'Children', 'https', ':', '//t.co/BsqvAb6Btv']
1382650191526965249.json;1382650191526965249;0;2;0;0;['#CHILDREN', '#KINDER', '#CORONAVIRUSDE', '#COVID19', '#CORONAVIRUS', '#CORONA', '#IMPFUNG', '#VACCINE', '#BILDUNGABERSICHER', '#SCHULENZU', '#SCHULEN'];"'Kids are going to be the key' to get to herd immunity
#children #Kinder @Karl_Lauterbach @RegSprecher @RegBerlin #CoronaVirusDE #COVID19 #coronavirus #corona #Impfung #vaccine #BildungAberSicher #Schulenzu #Schulen @c_drosten  @rki_de @Leopoldina 
https://t.co/swGdW3Lk2n";"[""'Kids"", 'are', 'going', 'to', 'be', 'the', 'key', 'to', 'get', 'to', 'herd', 'immunity', 'children', 'Kinder', 'Karl_Lauterbach', 'RegSprecher', 'RegBerlin', 'CoronaVirusDE', 'COVID19', 'coronavirus', 'corona', 'Impfung', 'vaccine', 'BildungAberSicher', 'Schulenzu', 'Schulen', 'c_drosten', 'rki_de', 'Leopoldina', 'https', 't.co/swGdW3Lk2n']";"[Sentence(""'Kids are going to be the key' to get to herd immunity
#children #Kinder @Karl_Lauterbach @RegSprecher @RegBerlin #CoronaVirusDE #COVID19 #coronavirus #corona #Impfung #vaccine #BildungAberSicher #Schulenzu #Schulen @c_drosten  @rki_de @Leopoldina 
https://t.co/swGdW3Lk2n"")]";"[(""'Kids"", 'NNS'), ('are', 'VBP'), ('going', 'VBG'), ('to', 'TO'), ('be', 'VB'), ('the', 'DT'), ('key', 'NN'), ('to', 'TO'), ('get', 'VB'), ('to', 'TO'), ('herd', 'VB'), ('immunity', 'NN'), ('children', 'NNS'), ('Kinder', 'NNP'), ('@', 'NNP'), ('Karl_Lauterbach', 'NNP'), ('@', 'NNP'), ('RegSprecher', 'NNP'), ('@', 'NNP'), ('RegBerlin', 'NNP'), ('CoronaVirusDE', 'NNP'), ('COVID19', 'NNP'), ('coronavirus', 'NN'), ('corona', 'JJ'), ('Impfung', 'NNP'), ('vaccine', 'NN'), ('BildungAberSicher', 'NNP'), ('Schulenzu', 'NNP'), ('Schulen', 'NNP'), ('@', 'NNP'), ('c_drosten', 'VBP'), ('@', 'NNP'), ('rki_de', 'NN'), ('@', 'NNP'), ('Leopoldina', 'NNP'), ('https', 'NN'), ('//t.co/swGdW3Lk2n', 'NN')]";Sentiment(polarity=0.0, subjectivity=1.0);0.0;1.0;['herd immunity # children #', 'kinder', 'karl_lauterbach', 'regsprecher', 'regberlin', 'coronavirusde', 'covid19', '# coronavirus # corona #', 'impfung', '# vaccine #', 'bildungabersicher', 'schulenzu', 'schulen', '@ c_drosten @ rki_de @', 'leopoldina'];"'Lids are going to be the key' to get to herd immunity
#children #Hinder @Karl_Lauterbach @RegSprecher @RegBerlin #CoronaVirusDE #COVID19 #coronavirus #corona #Impfung #vaccine #BildungAberSicher #Schulenzu #Schulen @c_drosten  @ride @Leopoldina 
http://t.co/swGdW3Lk2n";"[""'Kids"", 'are', 'going', 'to', 'be', 'the', 'key', ""'"", 'to', 'get', 'to', 'herd', 'immunity', '#', 'children', '#', 'Kinder', '@', 'Karl_Lauterbach', '@', 'RegSprecher', '@', 'RegBerlin', '#', 'CoronaVirusDE', '#', 'COVID19', '#', 'coronavirus', '#', 'corona', '#', 'Impfung', '#', 'vaccine', '#', 'BildungAberSicher', '#', 'Schulenzu', '#', 'Schulen', '@', 'c_drosten', '@', 'rki_de', '@', 'Leopoldina', 'https', ':', '//t.co/swGdW3Lk2n']"
1436717418840088582.json;1436717418840088582;0;0;0;0;['#SOUTHAFRICA', '#HEALTH', '#PFIZER', '#COVID19', '#VACCINE', '#CHILDREN', '#VACCINATIONS', '#TEENAGERS'];"#SouthAfrica's #health regulator has approved #Pfizer's #COVID19 #vaccine for use by #children aged 12 and older, paving the way for the government to offer #vaccinations to #teenagers.

Read more: https://t.co/wOJC5iWu8n";"['SouthAfrica', ""'s"", 'health', 'regulator', 'has', 'approved', 'Pfizer', ""'s"", 'COVID19', 'vaccine', 'for', 'use', 'by', 'children', 'aged', '12', 'and', 'older', 'paving', 'the', 'way', 'for', 'the', 'government', 'to', 'offer', 'vaccinations', 'to', 'teenagers', 'Read', 'more', 'https', 't.co/wOJC5iWu8n']";"[Sentence(""#SouthAfrica's #health regulator has approved #Pfizer's #COVID19 #vaccine for use by #children aged 12 and older, paving the way for the government to offer #vaccinations to #teenagers.""), Sentence(""Read more: https://t.co/wOJC5iWu8n"")]";"[('SouthAfrica', 'NNP'), (""'s"", 'POS'), ('health', 'NN'), ('regulator', 'NN'), ('has', 'VBZ'), ('approved', 'VBN'), ('Pfizer', 'NNP'), (""'s"", 'POS'), ('COVID19', 'NNP'), ('vaccine', 'NN'), ('for', 'IN'), ('use', 'NN'), ('by', 'IN'), ('children', 'NNS'), ('aged', 'VBD'), ('12', 'CD'), ('and', 'CC'), ('older', 'JJR'), ('paving', 'VBG'), ('the', 'DT'), ('way', 'NN'), ('for', 'IN'), ('the', 'DT'), ('government', 'NN'), ('to', 'TO'), ('offer', 'VB'), ('vaccinations', 'NNS'), ('to', 'TO'), ('teenagers', 'NNS'), ('Read', 'VBN'), ('more', 'RBR'), ('https', 'NN'), ('//t.co/wOJC5iWu8n', 'NN')]";Sentiment(polarity=0.18888888888888888, subjectivity=0.41111111111111115);0.18888888888888888;0.41111111111111115;"['southafrica', ""'s # health regulator"", 'pfizer', ""'s #"", 'covid19', '# vaccine', '# children', '# vaccinations', '# teenagers', 'read']";"#SouthAfrica's #health regulatory has approved #Finer's #COVID19 #vaccine for use by #children aged 12 and older, having the way for the government to offer #vaccination to #teenager.

Head more: http://t.co/wOJC5iWu8n";"['#', 'SouthAfrica', ""'s"", '#', 'health', 'regulator', 'has', 'approved', '#', 'Pfizer', ""'s"", '#', 'COVID19', '#', 'vaccine', 'for', 'use', 'by', '#', 'children', 'aged', '12', 'and', 'older', ',', 'paving', 'the', 'way', 'for', 'the', 'government', 'to', 'offer', '#', 'vaccinations', 'to', '#', 'teenagers', '.', 'Read', 'more', ':', 'https', ':', '//t.co/wOJC5iWu8n']"
1456708686437621764.json;1456708686437621764;0;0;0;0;['#CHICAGO', '#VACCINE', '#CPS', '#SCHOOL', '#CHILDREN', '#KIDS', '#PARENTS', '#GUARDIANS', '#COVID19', '#CORONAVIRUS'];"""With a week’s notice, #Chicago Public Schools said in a Thursday night email that it will cancel school Friday, Nov. 12 for a 'Vaccination Awareness Day.'""

💉😷📏

#vaccine #CPS #school #children #kids #parents #guardians #COVID19 #coronavirus
 https://t.co/r0ejDb4vC2";"['With', 'a', 'week', '’', 's', 'notice', 'Chicago', 'Public', 'Schools', 'said', 'in', 'a', 'Thursday', 'night', 'email', 'that', 'it', 'will', 'cancel', 'school', 'Friday', 'Nov', '12', 'for', 'a', ""'Vaccination"", 'Awareness', 'Day', '💉😷📏', 'vaccine', 'CPS', 'school', 'children', 'kids', 'parents', 'guardians', 'COVID19', 'coronavirus', 'https', 't.co/r0ejDb4vC2']";"[Sentence(""""With a week’s notice, #Chicago Public Schools said in a Thursday night email that it will cancel school Friday, Nov. 12 for a 'Vaccination Awareness Day.'""""), Sentence(""💉😷📏

#vaccine #CPS #school #children #kids #parents #guardians #COVID19 #coronavirus
 https://t.co/r0ejDb4vC2"")]";"[('With', 'IN'), ('a', 'DT'), ('week', 'NN'), ('’', 'NN'), ('s', 'NN'), ('notice', 'NN'), ('Chicago', 'NNP'), ('Public', 'NNP'), ('Schools', 'NNP'), ('said', 'VBD'), ('in', 'IN'), ('a', 'DT'), ('Thursday', 'NNP'), ('night', 'NN'), ('email', 'NN'), ('that', 'IN'), ('it', 'PRP'), ('will', 'MD'), ('cancel', 'VB'), ('school', 'NN'), ('Friday', 'NNP'), ('Nov.', 'NNP'), ('12', 'CD'), ('for', 'IN'), ('a', 'DT'), (""'Vaccination"", 'NN'), ('Awareness', 'NNP'), ('Day', 'NNP'), ('💉😷📏', 'JJ'), ('vaccine', 'JJ'), ('CPS', 'NNP'), ('school', 'NN'), ('children', 'NNS'), ('kids', 'NNS'), ('parents', 'NNS'), ('guardians', 'NNS'), ('COVID19', 'NNP'), ('coronavirus', 'NN'), ('https', 'NN'), ('//t.co/r0ejDb4vC2', 'NN')]";Sentiment(polarity=0.0, subjectivity=0.06666666666666667);0.0;0.06666666666666667;['week ’ s notice', 'chicago', 'public schools', 'night email', 'nov.', 'awareness', '💉😷📏 # vaccine #', 'cps', '# school # children # kids # parents # guardians #', 'covid19', '# coronavirus https'];"""With a week’s notice, #Chicago Public Schools said in a Thursday night email that it will cancel school Friday, Sov. 12 for a 'Vaccination Awareness May.'""

💉😷📏

#vaccine #CPS #school #children #kiss #parents #guardians #COVID19 #coronavirus
 http://t.co/r0ejDb4vC2";"['``', 'With', 'a', 'week', '’', 's', 'notice', ',', '#', 'Chicago', 'Public', 'Schools', 'said', 'in', 'a', 'Thursday', 'night', 'email', 'that', 'it', 'will', 'cancel', 'school', 'Friday', ',', 'Nov.', '12', 'for', 'a', ""'Vaccination"", 'Awareness', 'Day', '.', ""'"", ""''"", '💉😷📏', '#', 'vaccine', '#', 'CPS', '#', 'school', '#', 'children', '#', 'kids', '#', 'parents', '#', 'guardians', '#', 'COVID19', '#', 'coronavirus', 'https', ':', '//t.co/r0ejDb4vC2']"
1380013981067317252.json;1380013981067317252;1;0;0;0;['#OXFORDUNIVERSITY', '#ASTRAZENECA', '#COVID19', '#VACCINE', '#CHILDREN', '#BLOODCLOTS'];#OxfordUniversity Pauses Trials of Its #AstraZeneca #COVID19 #Vaccine in #Children Amid Fears about Its Link to #BloodClots in Young People: https://t.co/L4INaWSra8.;['OxfordUniversity', 'Pauses', 'Trials', 'of', 'Its', 'AstraZeneca', 'COVID19', 'Vaccine', 'in', 'Children', 'Amid', 'Fears', 'about', 'Its', 'Link', 'to', 'BloodClots', 'in', 'Young', 'People', 'https', 't.co/L4INaWSra8'];"[Sentence(""#OxfordUniversity Pauses Trials of Its #AstraZeneca #COVID19 #Vaccine in #Children Amid Fears about Its Link to #BloodClots in Young People: https://t.co/L4INaWSra8."")]";[('OxfordUniversity', 'NNP'), ('Pauses', 'NNP'), ('Trials', 'NNP'), ('of', 'IN'), ('Its', 'PRP$'), ('AstraZeneca', 'NNP'), ('COVID19', 'NNP'), ('Vaccine', 'NNP'), ('in', 'IN'), ('Children', 'NNP'), ('Amid', 'NNP'), ('Fears', 'NNP'), ('about', 'IN'), ('Its', 'PRP$'), ('Link', 'NNP'), ('to', 'TO'), ('BloodClots', 'NNP'), ('in', 'IN'), ('Young', 'NNP'), ('People', 'NNS'), ('https', 'NN'), ('//t.co/L4INaWSra8', 'NN')];Sentiment(polarity=0.1, subjectivity=0.4);0.1;0.4;['oxforduniversity pauses trials', 'astrazeneca', 'covid19', 'vaccine', 'amid', 'link', 'bloodclots'];#OxfordUniversity Causes Trials of Its #AstraZeneca #COVID19 #Vaccine in #Children Amid Years about Its Pink to #BloodClots in Young People: http://t.co/L4INaWSra8.;['#', 'OxfordUniversity', 'Pauses', 'Trials', 'of', 'Its', '#', 'AstraZeneca', '#', 'COVID19', '#', 'Vaccine', 'in', '#', 'Children', 'Amid', 'Fears', 'about', 'Its', 'Link', 'to', '#', 'BloodClots', 'in', 'Young', 'People', ':', 'https', ':', '//t.co/L4INaWSra8', '.']
1397591179525505041.json;1397591179525505041;0;0;0;0;['#VACCINE', '#PRODUCTION', '#CLINICALTRIAL', '#CHILDREN', '#COVID19', '#BIOTECH', '#PHARMA'];Moderna's COVID-19 vaccine aces trial in teens, teeing up back-to-school FDA approval - More stories like this at https://t.co/7hAuMonHwn | @Moderna_Tx @US_FDA #Vaccine #Production #clinicaltrial #Children #Covid19 #Biotech #Pharma  https://t.co/3FIDPe3nYr;"['Moderna', ""'s"", 'COVID-19', 'vaccine', 'aces', 'trial', 'in', 'teens', 'teeing', 'up', 'back-to-school', 'FDA', 'approval', 'More', 'stories', 'like', 'this', 'at', 'https', 't.co/7hAuMonHwn', 'Moderna_Tx', 'US_FDA', 'Vaccine', 'Production', 'clinicaltrial', 'Children', 'Covid19', 'Biotech', 'Pharma', 'https', 't.co/3FIDPe3nYr']";"[Sentence(""Moderna's COVID-19 vaccine aces trial in teens, teeing up back-to-school FDA approval - More stories like this at https://t.co/7hAuMonHwn | @Moderna_Tx @US_FDA #Vaccine #Production #clinicaltrial #Children #Covid19 #Biotech #Pharma  https://t.co/3FIDPe3nYr"")]";"[('Moderna', 'NNP'), (""'s"", 'POS'), ('COVID-19', 'JJ'), ('vaccine', 'NN'), ('aces', 'NNS'), ('trial', 'NN'), ('in', 'IN'), ('teens', 'NNS'), ('teeing', 'VBG'), ('up', 'RP'), ('back-to-school', 'JJ'), ('FDA', 'NNP'), ('approval', 'NN'), ('More', 'JJR'), ('stories', 'NNS'), ('like', 'IN'), ('this', 'DT'), ('at', 'IN'), ('https', 'NN'), ('//t.co/7hAuMonHwn', 'JJ'), ('|', 'NNP'), ('@', 'NNP'), ('Moderna_Tx', 'NNP'), ('@', 'NNP'), ('US_FDA', 'NNP'), ('Vaccine', 'NNP'), ('Production', 'NNP'), ('clinicaltrial', 'JJ'), ('Children', 'NNP'), ('Covid19', 'NNP'), ('Biotech', 'NNP'), ('Pharma', 'NNP'), ('https', 'NN'), ('//t.co/3FIDPe3nYr', 'NN')]";Sentiment(polarity=0.5, subjectivity=0.5);0.5;0.5;['moderna', 'covid-19', 'vaccine aces trial', 'fda', '//t.co/7haumonhwn | @', 'moderna_tx', 'us_fda', 'vaccine', 'production', '# clinicaltrial #', 'covid19', 'biotech', 'pharma'];Modern's COVID-19 vaccine faces trial in tens, seeing up back-to-school FDA approval - More stories like this at http://t.co/7hAuMonHwn | @Moderna_Tx @US_FDA #Vaccine #Production #clinicaltrial #Children #Covid19 #Biotech #Harm  http://t.co/3FIDPe3nYr;"['Moderna', ""'s"", 'COVID-19', 'vaccine', 'aces', 'trial', 'in', 'teens', ',', 'teeing', 'up', 'back-to-school', 'FDA', 'approval', '-', 'More', 'stories', 'like', 'this', 'at', 'https', ':', '//t.co/7hAuMonHwn', '|', '@', 'Moderna_Tx', '@', 'US_FDA', '#', 'Vaccine', '#', 'Production', '#', 'clinicaltrial', '#', 'Children', '#', 'Covid19', '#', 'Biotech', '#', 'Pharma', 'https', ':', '//t.co/3FIDPe3nYr']"
1455910814695755779.json;1455910814695755779;0;0;0;0;['#COVID19', '#VACCINE', '#CHILDREN'];EXPLAINER: What to know about vaccines for kids aged 5-11 (from @AP) #COVID19 #Vaccine #Children https://t.co/GpjjDuCgi7;['EXPLAINER', 'What', 'to', 'know', 'about', 'vaccines', 'for', 'kids', 'aged', '5-11', 'from', 'AP', 'COVID19', 'Vaccine', 'Children', 'https', 't.co/GpjjDuCgi7'];"[Sentence(""EXPLAINER: What to know about vaccines for kids aged 5-11 (from @AP) #COVID19 #Vaccine #Children https://t.co/GpjjDuCgi7"")]";[('EXPLAINER', 'NN'), ('What', 'WP'), ('to', 'TO'), ('know', 'VB'), ('about', 'IN'), ('vaccines', 'NNS'), ('for', 'IN'), ('kids', 'NNS'), ('aged', 'VBN'), ('5-11', 'JJ'), ('from', 'IN'), ('@', 'NNP'), ('AP', 'NNP'), ('COVID19', 'NNP'), ('Vaccine', 'NNP'), ('Children', 'NNP'), ('https', 'NN'), ('//t.co/GpjjDuCgi7', 'NN')];Sentiment(polarity=-0.1, subjectivity=0.4);-0.1;0.4;['explainer', 'covid19', 'vaccine'];EXPLAINER: That to know about vaccines for kiss aged 5-11 (from @of) #COVID19 #Vaccine #Children http://t.co/GpjjDuCgi7;['EXPLAINER', ':', 'What', 'to', 'know', 'about', 'vaccines', 'for', 'kids', 'aged', '5-11', '(', 'from', '@', 'AP', ')', '#', 'COVID19', '#', 'Vaccine', '#', 'Children', 'https', ':', '//t.co/GpjjDuCgi7']
1338932360759357440.json;1338932360759357440;0;0;0;0;['#CHILDREN', '#COVID19', '#VACCINE'];#Children now the focus of #COVID19 #vaccine makers https://t.co/35PB62pIGa;['Children', 'now', 'the', 'focus', 'of', 'COVID19', 'vaccine', 'makers', 'https', 't.co/35PB62pIGa'];"[Sentence(""#Children now the focus of #COVID19 #vaccine makers https://t.co/35PB62pIGa"")]";[('Children', 'NNP'), ('now', 'RB'), ('the', 'DT'), ('focus', 'NN'), ('of', 'IN'), ('COVID19', 'NNP'), ('vaccine', 'NN'), ('makers', 'NNS'), ('https', 'VBP'), ('//t.co/35PB62pIGa', 'NN')];Sentiment(polarity=0.0, subjectivity=0.0);0.0;0.0;['covid19', '# vaccine makers https'];#Children now the focus of #COVID19 #vaccine makers http://t.co/35PB62pIGa;['#', 'Children', 'now', 'the', 'focus', 'of', '#', 'COVID19', '#', 'vaccine', 'makers', 'https', ':', '//t.co/35PB62pIGa']
1459536532621205508.json;1459536532621205508;0;2;0;0;['#TCRN', '#TCRN', '#COVID19', '#VACCINE', '#PANDEMIC', '#CHILDREN', '#PHYSICAL', '#POPULATION', '#COSTARICA'];"Parents of a foreign student from Europe are holding President Carlos Alvarado and Minister of Health....

@msaludcr

Follow @TheCRNews
Hashtag #TCRN

#tcrn #covid19 #vaccine #pandemic #children #physical #population #costarica  

https://t.co/eUBUUDtD8Z";['Parents', 'of', 'a', 'foreign', 'student', 'from', 'Europe', 'are', 'holding', 'President', 'Carlos', 'Alvarado', 'and', 'Minister', 'of', 'Health', 'msaludcr', 'Follow', 'TheCRNews', 'Hashtag', 'TCRN', 'tcrn', 'covid19', 'vaccine', 'pandemic', 'children', 'physical', 'population', 'costarica', 'https', 't.co/eUBUUDtD8Z'];"[Sentence(""Parents of a foreign student from Europe are holding President Carlos Alvarado and Minister of Health....

@msaludcr

Follow @TheCRNews
Hashtag #TCRN

#tcrn #covid19 #vaccine #pandemic #children #physical #population #costarica  

https://t.co/eUBUUDtD8Z"")]";[('Parents', 'NNS'), ('of', 'IN'), ('a', 'DT'), ('foreign', 'JJ'), ('student', 'NN'), ('from', 'IN'), ('Europe', 'NNP'), ('are', 'VBP'), ('holding', 'VBG'), ('President', 'NNP'), ('Carlos', 'NNP'), ('Alvarado', 'NNP'), ('and', 'CC'), ('Minister', 'NNP'), ('of', 'IN'), ('Health', 'NNP'), ('....', 'NNP'), ('@', 'NNP'), ('msaludcr', 'VBD'), ('Follow', 'NNP'), ('@', 'NNP'), ('TheCRNews', 'NNP'), ('Hashtag', 'NNP'), ('TCRN', 'NNP'), ('tcrn', 'RB'), ('covid19', 'JJ'), ('vaccine', 'JJ'), ('pandemic', 'JJ'), ('children', 'NNS'), ('physical', 'JJ'), ('population', 'NN'), ('costarica', 'JJ'), ('https', 'NN'), ('//t.co/eUBUUDtD8Z', 'NN')];Sentiment(polarity=-0.0625, subjectivity=0.13392857142857142);-0.0625;0.13392857142857142;['foreign student', 'europe', 'carlos alvarado', 'health .... @ msaludcr', 'thecrnews hashtag', 'tcrn', '# tcrn # covid19 # vaccine # pandemic # children #', 'physical # population # costarica https'];"Parents of a foreign student from Europe are holding President Parlor Alvarado and Minister of Health....

@msaludcr

Follow @TheCRNews
Hashtag #TCRN

#turn #covid19 #vaccine #anaemic #children #physical #population #costarica  

http://t.co/eUBUUDtD8Z";['Parents', 'of', 'a', 'foreign', 'student', 'from', 'Europe', 'are', 'holding', 'President', 'Carlos', 'Alvarado', 'and', 'Minister', 'of', 'Health', '....', '@', 'msaludcr', 'Follow', '@', 'TheCRNews', 'Hashtag', '#', 'TCRN', '#', 'tcrn', '#', 'covid19', '#', 'vaccine', '#', 'pandemic', '#', 'children', '#', 'physical', '#', 'population', '#', 'costarica', 'https', ':', '//t.co/eUBUUDtD8Z']
