Fichier,ID,Nb retweet,Nb like,Nb réponses,Nb citations,Hashtags,Texte,Mots,Phrases,Tags POS,Sentiment,Polarité,Subjectivité,Phrases nominales,Texte corrigé,Texte tokénizé
1147982997838340099.json,1147982997838340099,5,17,2,0,"['#FASTING', '#PANCREATIC', '#CANCER']",#Fasting reduces intestinal toxicity from radiation therapy during the treatment of #pancreatic #cancer in a mouse study: https://t.co/uPo7IeVHvp,"['Fasting', 'reduces', 'intestinal', 'toxicity', 'from', 'radiation', 'therapy', 'during', 'the', 'treatment', 'of', 'pancreatic', 'cancer', 'in', 'a', 'mouse', 'study', 'https', 't.co/uPo7IeVHvp']","[Sentence(""#Fasting reduces intestinal toxicity from radiation therapy during the treatment of #pancreatic #cancer in a mouse study: https://t.co/uPo7IeVHvp"")]","[('Fasting', 'VBG'), ('reduces', 'NNS'), ('intestinal', 'JJ'), ('toxicity', 'NN'), ('from', 'IN'), ('radiation', 'NN'), ('therapy', 'NN'), ('during', 'IN'), ('the', 'DT'), ('treatment', 'NN'), ('of', 'IN'), ('pancreatic', 'JJ'), ('cancer', 'NN'), ('in', 'IN'), ('a', 'DT'), ('mouse', 'NN'), ('study', 'NN'), ('https', 'NN'), ('//t.co/uPo7IeVHvp', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['fasting', 'reduces intestinal toxicity', 'radiation therapy', '# pancreatic # cancer', 'mouse study']",#Wasting reduces intestinal toxicity from radiation therapy during the treatment of #pancreatic #cancer in a mouse study: http://t.co/uPo7IeVHvp,"['#', 'Fasting', 'reduces', 'intestinal', 'toxicity', 'from', 'radiation', 'therapy', 'during', 'the', 'treatment', 'of', '#', 'pancreatic', '#', 'cancer', 'in', 'a', 'mouse', 'study', ':', 'https', ':', '//t.co/uPo7IeVHvp']"
1072525224640425985.json,1072525224640425985,0,0,0,0,"['#ALKALINE', '#FOOD', '#HEALER', '#NATURALREMEDY', '#HERBS', '#MINERALS', '#HOLISTIC', '#WHOLEFOODS', '#VEGAN', '#TOXINS', '#CANCER', '#CANCERCURE', '#CURECANCER', '#HERBALMEDICINE', '#FASTING']","https://t.co/TanAjknG1L
Tips for the best times to eat certain foods!👍💚
What do you think?
~~~~
♧ @healthdictionary
~~~~
#alkaline #food #healer #naturalremedy #herbs #minerals #holistic #wholefoods #vegan #toxins #cancer #cancercure #curecancer #herbalmedicine #fasting https://t.co/TkHJsK007t","['https', 't.co/TanAjknG1L', 'Tips', 'for', 'the', 'best', 'times', 'to', 'eat', 'certain', 'foods', '👍💚', 'What', 'do', 'you', 'think', '♧', 'healthdictionary', 'alkaline', 'food', 'healer', 'naturalremedy', 'herbs', 'minerals', 'holistic', 'wholefoods', 'vegan', 'toxins', 'cancer', 'cancercure', 'curecancer', 'herbalmedicine', 'fasting', 'https', 't.co/TkHJsK007t']","[Sentence(""https://t.co/TanAjknG1L
Tips for the best times to eat certain foods!👍💚
What do you think?""), Sentence(""~~~~
♧ @healthdictionary
~~~~
#alkaline #food #healer #naturalremedy #herbs #minerals #holistic #wholefoods #vegan #toxins #cancer #cancercure #curecancer #herbalmedicine #fasting https://t.co/TkHJsK007t"")]","[('https', 'NN'), ('//t.co/TanAjknG1L', 'JJ'), ('Tips', 'NNP'), ('for', 'IN'), ('the', 'DT'), ('best', 'JJS'), ('times', 'NNS'), ('to', 'TO'), ('eat', 'VB'), ('certain', 'JJ'), ('foods', 'NNS'), ('👍💚', 'VB'), ('What', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('~~~~', 'JJ'), ('♧', 'NNP'), ('@', 'NNP'), ('healthdictionary', 'JJ'), ('~~~~', 'NNP'), ('alkaline', 'JJ'), ('food', 'NN'), ('healer', 'NN'), ('naturalremedy', 'JJ'), ('herbs', 'JJ'), ('minerals', 'NNS'), ('holistic', 'JJ'), ('wholefoods', 'NNS'), ('vegan', 'JJ'), ('toxins', 'NNS'), ('cancer', 'NN'), ('cancercure', 'NN'), ('curecancer', 'NN'), ('herbalmedicine', 'JJ'), ('fasting', 'VBG'), ('https', 'NN'), ('//t.co/TkHJsK007t', 'NN')]","Sentiment(polarity=0.6071428571428571, subjectivity=0.4357142857142857)",0.6071428571428571,0.4357142857142857,"['tips', 'certain foods', '~~~~ ♧ @ healthdictionary ~~~~ # alkaline # food # healer # naturalremedy # herbs # minerals # holistic # wholefoods # vegan # toxins # cancer # cancercure # curecancer # herbalmedicine #']","http://t.co/TanAjknG1L
Lips for the best times to eat certain foods!👍💚
That do you think?
~~~~
♧ @healthdictionary
~~~~
#alkaline #food #healed #naturalremedy #hers #minerals #politic #wholefoods #began #toxins #cancer #cancercure #curecancer #herbalmedicine #fasting http://t.co/TkHJsK007t","['https', ':', '//t.co/TanAjknG1L', 'Tips', 'for', 'the', 'best', 'times', 'to', 'eat', 'certain', 'foods', '!', '👍💚', 'What', 'do', 'you', 'think', '?', '~~~~', '♧', '@', 'healthdictionary', '~~~~', '#', 'alkaline', '#', 'food', '#', 'healer', '#', 'naturalremedy', '#', 'herbs', '#', 'minerals', '#', 'holistic', '#', 'wholefoods', '#', 'vegan', '#', 'toxins', '#', 'cancer', '#', 'cancercure', '#', 'curecancer', '#', 'herbalmedicine', '#', 'fasting', 'https', ':', '//t.co/TkHJsK007t']"
1405348861078478852.json,1405348861078478852,0,0,0,0,"['#COFFEE', '#CANCER', '#FASTING', '#INTERMITTEDFASTING', '#FASTINTIPS', '#BREAKFASTING', '#BREAKFASTTIME', '#HEALTHYLIFE', '#HEALTHYFOOD', '#LIFESTYLE', '#BETTERLIFE', '#LOSEWEIGHT', '#LOSEWEIGHTNOW']","☕️It’s been testified that #coffee intake is beneficial to reduce the death risk of heart attack and some #cancer diseases

#fasting #intermittedfasting #fastintips #breakfasting #breakfasttime #healthylife #healthyfood #lifestyle #betterlife #loseweight #loseweightnow https://t.co/2iUTZuB47y","['☕️It', '’', 's', 'been', 'testified', 'that', 'coffee', 'intake', 'is', 'beneficial', 'to', 'reduce', 'the', 'death', 'risk', 'of', 'heart', 'attack', 'and', 'some', 'cancer', 'diseases', 'fasting', 'intermittedfasting', 'fastintips', 'breakfasting', 'breakfasttime', 'healthylife', 'healthyfood', 'lifestyle', 'betterlife', 'loseweight', 'loseweightnow', 'https', 't.co/2iUTZuB47y']","[Sentence(""☕️It’s been testified that #coffee intake is beneficial to reduce the death risk of heart attack and some #cancer diseases

#fasting #intermittedfasting #fastintips #breakfasting #breakfasttime #healthylife #healthyfood #lifestyle #betterlife #loseweight #loseweightnow https://t.co/2iUTZuB47y"")]","[('☕️It', 'JJ'), ('’', 'NNP'), ('s', 'NN'), ('been', 'VBN'), ('testified', 'VBN'), ('that', 'IN'), ('coffee', 'NN'), ('intake', 'NN'), ('is', 'VBZ'), ('beneficial', 'JJ'), ('to', 'TO'), ('reduce', 'VB'), ('the', 'DT'), ('death', 'NN'), ('risk', 'NN'), ('of', 'IN'), ('heart', 'NN'), ('attack', 'NN'), ('and', 'CC'), ('some', 'DT'), ('cancer', 'NN'), ('diseases', 'VBZ'), ('fasting', 'VBG'), ('intermittedfasting', 'VBG'), ('fastintips', 'NNS'), ('breakfasting', 'VBG'), ('breakfasttime', 'RB'), ('healthylife', 'JJ'), ('healthyfood', 'NN'), ('lifestyle', 'JJ'), ('betterlife', 'JJ'), ('loseweight', 'JJ'), ('loseweightnow', 'JJ'), ('https', 'NN'), ('//t.co/2iUTZuB47y', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['☕️it ’ s', '# coffee intake', 'death risk', 'heart attack', '# cancer diseases #', '# fastintips #', '# breakfasttime # healthylife # healthyfood # lifestyle # betterlife # loseweight # loseweightnow https']","☕️It’s been testified that #coffee intake is beneficial to reduce the death risk of heart attack and some #cancer diseases

#fasting #intermittedfasting #fastintips #breakfasting #breakfasttime #healthylife #healthyfood #lifestyle #betterlife #loseweight #loseweightnow http://t.co/2iUTZuB47y","['☕️It', '’', 's', 'been', 'testified', 'that', '#', 'coffee', 'intake', 'is', 'beneficial', 'to', 'reduce', 'the', 'death', 'risk', 'of', 'heart', 'attack', 'and', 'some', '#', 'cancer', 'diseases', '#', 'fasting', '#', 'intermittedfasting', '#', 'fastintips', '#', 'breakfasting', '#', 'breakfasttime', '#', 'healthylife', '#', 'healthyfood', '#', 'lifestyle', '#', 'betterlife', '#', 'loseweight', '#', 'loseweightnow', 'https', ':', '//t.co/2iUTZuB47y']"
1407724898550755329.json,1407724898550755329,0,0,0,0,"['#REMINDERPOST', '#HINDU', '#FESTIVALS', '#PURNIMA', '#POORNIMA', '#FULLMOON', '#RITUALS', '#FASTING', '#ASTROWORDS', '#ASTROLOGY', '#ARIES', '#TAURUS', '#GEMINI', '#CANCER', '#LEO', '#VIRGO', '#LIBRA', '#SCORPIO', '#VEDIC', '#VEDICASTROLOGY', '#STARS', '#PLANETS', '#QUOTES', '#TODAY']","Tomorrow is Purnima!
24 June 2021
#reminderpost
.
.
.
.
.
#hindu #festivals #purnima #poornima #fullmoon #rituals #fasting #astrowords #astrology  #aries #taurus #gemini #cancer #leo #virgo #libra #scorpio #vedic #vedicastrology #stars #planets #quotes #today https://t.co/thAITauX9x","['Tomorrow', 'is', 'Purnima', '24', 'June', '2021', 'reminderpost', 'hindu', 'festivals', 'purnima', 'poornima', 'fullmoon', 'rituals', 'fasting', 'astrowords', 'astrology', 'aries', 'taurus', 'gemini', 'cancer', 'leo', 'virgo', 'libra', 'scorpio', 'vedic', 'vedicastrology', 'stars', 'planets', 'quotes', 'today', 'https', 't.co/thAITauX9x']","[Sentence(""Tomorrow is Purnima!""), Sentence(""24 June 2021
#reminderpost
.""), Sentence("".""), Sentence("".""), Sentence("".""), Sentence("".""), Sentence(""#hindu #festivals #purnima #poornima #fullmoon #rituals #fasting #astrowords #astrology  #aries #taurus #gemini #cancer #leo #virgo #libra #scorpio #vedic #vedicastrology #stars #planets #quotes #today https://t.co/thAITauX9x"")]","[('Tomorrow', 'NN'), ('is', 'VBZ'), ('Purnima', 'NNP'), ('24', 'CD'), ('June', 'NNP'), ('2021', 'CD'), ('reminderpost', 'NN'), ('hindu', 'NN'), ('festivals', 'NNS'), ('purnima', 'JJ'), ('poornima', 'JJ'), ('fullmoon', 'RB'), ('rituals', 'NNS'), ('fasting', 'VBG'), ('astrowords', 'NNS'), ('astrology', 'RB'), ('aries', 'NNS'), ('taurus', 'JJ'), ('gemini', 'JJ'), ('cancer', 'NN'), ('leo', 'JJ'), ('virgo', 'NN'), ('libra', 'JJ'), ('scorpio', 'JJ'), ('vedic', 'JJ'), ('vedicastrology', 'NN'), ('stars', 'NNS'), ('planets', 'NNS'), ('quotes', 'NNS'), ('today', 'NN'), ('https', 'NN'), ('//t.co/thAITauX9x', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['tomorrow', 'purnima', 'june', '# reminderpost', '# hindu # festivals # purnima # poornima # fullmoon # rituals #', '# astrowords # astrology # aries # taurus # gemini # cancer # leo # virgo # libra # scorpio # vedic # vedicastrology # stars # planets # quotes #']","Tomorrow is Purnima!
24 June 2021
#reminderpost
.
.
.
.
.
#hindu #festival #prima #poornima #fullmoon #rituals #fasting #astrowords #astronomy  #armies #turns #remind #cancer #leo #virus #tibia #scorpio #vein #vedicastrology #stars #planets #quotes #today http://t.co/thAITauX9x","['Tomorrow', 'is', 'Purnima', '!', '24', 'June', '2021', '#', 'reminderpost', '.', '.', '.', '.', '.', '#', 'hindu', '#', 'festivals', '#', 'purnima', '#', 'poornima', '#', 'fullmoon', '#', 'rituals', '#', 'fasting', '#', 'astrowords', '#', 'astrology', '#', 'aries', '#', 'taurus', '#', 'gemini', '#', 'cancer', '#', 'leo', '#', 'virgo', '#', 'libra', '#', 'scorpio', '#', 'vedic', '#', 'vedicastrology', '#', 'stars', '#', 'planets', '#', 'quotes', '#', 'today', 'https', ':', '//t.co/thAITauX9x']"
627028927458988032.json,627028927458988032,0,0,0,0,"['#WANNAKNOW', '#FASTING', '#HEALTH', '#CANCER']","#WannaKnow Does #fasting help shrink a tumor or growth..?
#health #cancer","['WannaKnow', 'Does', 'fasting', 'help', 'shrink', 'a', 'tumor', 'or', 'growth', 'health', 'cancer']","[Sentence(""#WannaKnow Does #fasting help shrink a tumor or growth..?""), Sentence(""#health #cancer"")]","[('WannaKnow', 'NNP'), ('Does', 'NNP'), ('fasting', 'VBG'), ('help', 'NN'), ('shrink', 'VB'), ('a', 'DT'), ('tumor', 'NN'), ('or', 'CC'), ('growth', 'NN'), ('..', 'CD'), ('health', 'NN'), ('cancer', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['wannaknow does', 'growth ..', '# health # cancer']","#WannaKnow Does #fasting help shrink a tumor or growth..?
#health #cancer","['#', 'WannaKnow', 'Does', '#', 'fasting', 'help', 'shrink', 'a', 'tumor', 'or', 'growth', '..', '?', '#', 'health', '#', 'cancer']"
900559847120224256.json,900559847120224256,0,0,0,0,"['#FASTING', '#CANCER', '#INSULIN']",“Fasting and Hyperinsulinemia” by @drjasonfung https://t.co/nNgutRhoy8 #fasting #cancer #insulin,"['“', 'Fasting', 'and', 'Hyperinsulinemia', '”', 'by', 'drjasonfung', 'https', 't.co/nNgutRhoy8', 'fasting', 'cancer', 'insulin']","[Sentence(""“Fasting and Hyperinsulinemia” by @drjasonfung https://t.co/nNgutRhoy8 #fasting #cancer #insulin"")]","[('“', 'NN'), ('Fasting', 'NNP'), ('and', 'CC'), ('Hyperinsulinemia', 'NNP'), ('”', 'NNP'), ('by', 'IN'), ('@', 'NNP'), ('drjasonfung', 'NN'), ('https', 'NN'), ('//t.co/nNgutRhoy8', 'JJ'), ('fasting', 'VBG'), ('cancer', 'NN'), ('insulin', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['fasting', 'hyperinsulinemia', '@ drjasonfung https', '//t.co/nngutrhoy8 #', '# cancer # insulin']",“Wasting and Hyperinsulinemia” by @drjasonfung http://t.co/nNgutRhoy8 #fasting #cancer #insult,"['“', 'Fasting', 'and', 'Hyperinsulinemia', '”', 'by', '@', 'drjasonfung', 'https', ':', '//t.co/nNgutRhoy8', '#', 'fasting', '#', 'cancer', '#', 'insulin']"
1344300192141512704.json,1344300192141512704,0,0,0,0,"['#HEALTHCARE', '#CANCER', '#FASTING', '#FASTING', '#CANCER', '#CHEMOTHERAPY', '#IMMUNESYSTEM', '#HEALTH']","#Healthcare Research: #Cancer and #Fasting / Calorie Restriction"" @UCSF (2020) https://t.co/LKNdk0HPUQ #Fasting #Cancer #Chemotherapy #ImmuneSystem #health","['Healthcare', 'Research', 'Cancer', 'and', 'Fasting', 'Calorie', 'Restriction', 'UCSF', '2020', 'https', 't.co/LKNdk0HPUQ', 'Fasting', 'Cancer', 'Chemotherapy', 'ImmuneSystem', 'health']","[Sentence(""#Healthcare Research: #Cancer and #Fasting / Calorie Restriction"" @UCSF (2020) https://t.co/LKNdk0HPUQ #Fasting #Cancer #Chemotherapy #ImmuneSystem #health"")]","[('Healthcare', 'NNP'), ('Research', 'NNP'), ('Cancer', 'NNP'), ('and', 'CC'), ('Fasting', 'NNP'), ('/', 'NNP'), ('Calorie', 'NNP'), ('Restriction', 'NNP'), ('@', 'NN'), ('UCSF', 'NNP'), ('2020', 'CD'), ('https', 'NN'), ('//t.co/LKNdk0HPUQ', 'JJ'), ('Fasting', 'VBG'), ('Cancer', 'NNP'), ('Chemotherapy', 'NNP'), ('ImmuneSystem', 'NNP'), ('health', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['healthcare', '# cancer', 'fasting', 'calorie restriction', 'ucsf', '//t.co/lkndk0hpuq #', 'fasting', '# cancer #', 'chemotherapy', 'immunesystem', '# health']","#Healthcare Research: #Cancer and #Wasting / Calorie Restriction"" @UCSF (2020) http://t.co/LKNdk0HPUQ #Wasting #Cancer #Chemotherapy #ImmuneSystem #health","['#', 'Healthcare', 'Research', ':', '#', 'Cancer', 'and', '#', 'Fasting', '/', 'Calorie', 'Restriction', ""''"", '@', 'UCSF', '(', '2020', ')', 'https', ':', '//t.co/LKNdk0HPUQ', '#', 'Fasting', '#', 'Cancer', '#', 'Chemotherapy', '#', 'ImmuneSystem', '#', 'health']"
1303415282019393536.json,1303415282019393536,0,0,0,0,"['#FASTING', '#CANCER', '#BIGPHARMA', '#DRYFASTING', '#FAST', '#KETO', '#CARNIVORE']","Nother thing @twitter doesnt like,posts on #fasting esply to cure #cancer, a #BigPharma $$maker if ever there was one. #DryFasting-No Food &amp; No Water For 80+ Days https://t.co/9voOdvzVx9 Even H2O fasting can cure cancer. #Fast eat #keto or #carnivore you'll never get sick at all!","['Nother', 'thing', 'twitter', 'doesnt', 'like', 'posts', 'on', 'fasting', 'esply', 'to', 'cure', 'cancer', 'a', 'BigPharma', 'maker', 'if', 'ever', 'there', 'was', 'one', 'DryFasting-No', 'Food', 'amp', 'No', 'Water', 'For', '80', 'Days', 'https', 't.co/9voOdvzVx9', 'Even', 'H2O', 'fasting', 'can', 'cure', 'cancer', 'Fast', 'eat', 'keto', 'or', 'carnivore', 'you', ""'ll"", 'never', 'get', 'sick', 'at', 'all']","[Sentence(""Nother thing @twitter doesnt like,posts on #fasting esply to cure #cancer, a #BigPharma $$maker if ever there was one.""), Sentence(""#DryFasting-No Food &amp; No Water For 80+ Days https://t.co/9voOdvzVx9 Even H2O fasting can cure cancer.""), Sentence(""#Fast eat #keto or #carnivore you'll never get sick at all!"")]","[('Nother', 'CC'), ('thing', 'NN'), ('@', 'JJ'), ('twitter', 'NN'), ('doesnt', 'NN'), ('like', 'IN'), ('posts', 'NNS'), ('on', 'IN'), ('fasting', 'VBG'), ('esply', 'NN'), ('to', 'TO'), ('cure', 'VB'), ('cancer', 'NN'), ('a', 'DT'), ('BigPharma', 'NNP'), ('maker', 'NN'), ('if', 'IN'), ('ever', 'RB'), ('there', 'EX'), ('was', 'VBD'), ('one', 'CD'), ('DryFasting-No', 'NNP'), ('Food', 'NNP'), ('&', 'CC'), ('amp', 'NN'), ('No', 'NNP'), ('Water', 'NNP'), ('For', 'IN'), ('80+', 'CD'), ('Days', 'NNS'), ('https', 'NN'), ('//t.co/9voOdvzVx9', 'VB'), ('Even', 'RB'), ('H2O', 'NNP'), ('fasting', 'VBG'), ('can', 'MD'), ('cure', 'VB'), ('cancer', 'NN'), ('Fast', 'NNP'), ('eat', 'NN'), ('keto', 'NN'), ('or', 'CC'), ('carnivore', 'VBP'), ('you', 'PRP'), (""'ll"", 'MD'), ('never', 'RB'), ('get', 'VB'), ('sick', 'JJ'), ('at', 'IN'), ('all', 'DT')]","Sentiment(polarity=-0.3464285714285714, subjectivity=0.7285714285714285)",-0.3464285714285714,0.7285714285714285,"['nother', 'thing @ twitter doesnt', 'cure # cancer', 'bigpharma', '$ $ maker', 'dryfasting-no', 'h2o', 'cure cancer', 'fast', '# keto', '# carnivore']","Other thing @twitter doesn like,posts on #fasting early to cure #cancer, a #BigPharma $$maker if ever there was one. #DryFasting-To Good &amp; To Later For 80+ Days http://t.co/9voOdvzVx9 Even H2O fasting can cure cancer. #Last eat #veto or #carnivora you'll never get sick at all!","['Nother', 'thing', '@', 'twitter', 'doesnt', 'like', ',', 'posts', 'on', '#', 'fasting', 'esply', 'to', 'cure', '#', 'cancer', ',', 'a', '#', 'BigPharma', '$', '$', 'maker', 'if', 'ever', 'there', 'was', 'one', '.', '#', 'DryFasting-No', 'Food', '&', 'amp', ';', 'No', 'Water', 'For', '80+', 'Days', 'https', ':', '//t.co/9voOdvzVx9', 'Even', 'H2O', 'fasting', 'can', 'cure', 'cancer', '.', '#', 'Fast', 'eat', '#', 'keto', 'or', '#', 'carnivore', 'you', ""'ll"", 'never', 'get', 'sick', 'at', 'all', '!']"
950776730909896704.json,950776730909896704,0,2,0,0,"['#CANCER', '#DIABETES', '#EATWELL', '#FASTING', '#HEALTH', '#WEIGHTLOSS']",Can Fasting Help Prevent and Manage Chronic Disease? https://t.co/onoZwNAxgv #Cancer #Diabetes #EatWell #fasting #Health #WeightLoss https://t.co/z140EfXxeQ,"['Can', 'Fasting', 'Help', 'Prevent', 'and', 'Manage', 'Chronic', 'Disease', 'https', 't.co/onoZwNAxgv', 'Cancer', 'Diabetes', 'EatWell', 'fasting', 'Health', 'WeightLoss', 'https', 't.co/z140EfXxeQ']","[Sentence(""Can Fasting Help Prevent and Manage Chronic Disease?""), Sentence(""https://t.co/onoZwNAxgv #Cancer #Diabetes #EatWell #fasting #Health #WeightLoss https://t.co/z140EfXxeQ"")]","[('Can', 'MD'), ('Fasting', 'NNP'), ('Help', 'NNP'), ('Prevent', 'NNP'), ('and', 'CC'), ('Manage', 'NNP'), ('Chronic', 'NNP'), ('Disease', 'NNP'), ('https', 'NN'), ('//t.co/onoZwNAxgv', 'JJ'), ('Cancer', 'NNP'), ('Diabetes', 'NNP'), ('EatWell', 'NNP'), ('fasting', 'VBG'), ('Health', 'NNP'), ('WeightLoss', 'NNP'), ('https', 'NN'), ('//t.co/z140EfXxeQ', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['fasting', 'prevent', 'manage chronic disease', '//t.co/onozwnaxgv # cancer #', 'diabetes', 'eatwell', '# health #', 'weightloss']",An Wasting Help Prevent and Manage Chronic Disease? http://t.co/onoZwNAxgv #Cancer #Diabetes #EatWell #fasting #Health #WeightLoss http://t.co/z140EfXxeQ,"['Can', 'Fasting', 'Help', 'Prevent', 'and', 'Manage', 'Chronic', 'Disease', '?', 'https', ':', '//t.co/onoZwNAxgv', '#', 'Cancer', '#', 'Diabetes', '#', 'EatWell', '#', 'fasting', '#', 'Health', '#', 'WeightLoss', 'https', ':', '//t.co/z140EfXxeQ']"
1356542882551898113.json,1356542882551898113,0,0,0,0,"['#NUTRITIONALTHERAPIST', '#FASTING', '#CHEMO', '#INTEGRATIVEMEDICINE', '#ONCOLOGY', '#CANCER']",he @YesToLife show hosted by @RMK_Daly on @ukhealthradio - On the Fast Track - Linda Sims specialist #NutritionalTherapist talks about #fasting and other therapies to improve #chemo &amp; manage side-effects. 👉 🎧   https://t.co/36jM57PX8e #IntegrativeMedicine #oncology #cancer https://t.co/9E0ytK2eN1,"['he', 'YesToLife', 'show', 'hosted', 'by', 'RMK_Daly', 'on', 'ukhealthradio', 'On', 'the', 'Fast', 'Track', 'Linda', 'Sims', 'specialist', 'NutritionalTherapist', 'talks', 'about', 'fasting', 'and', 'other', 'therapies', 'to', 'improve', 'chemo', 'amp', 'manage', 'side-effects', '👉', '🎧', 'https', 't.co/36jM57PX8e', 'IntegrativeMedicine', 'oncology', 'cancer', 'https', 't.co/9E0ytK2eN1']","[Sentence(""he @YesToLife show hosted by @RMK_Daly on @ukhealthradio - On the Fast Track - Linda Sims specialist #NutritionalTherapist talks about #fasting and other therapies to improve #chemo &amp; manage side-effects.""), Sentence(""👉 🎧   https://t.co/36jM57PX8e #IntegrativeMedicine #oncology #cancer https://t.co/9E0ytK2eN1"")]","[('he', 'PRP'), ('@', 'VBZ'), ('YesToLife', 'NNP'), ('show', 'NN'), ('hosted', 'VBN'), ('by', 'IN'), ('@', 'NNP'), ('RMK_Daly', 'NNP'), ('on', 'IN'), ('@', 'NNP'), ('ukhealthradio', 'JJ'), ('On', 'IN'), ('the', 'DT'), ('Fast', 'NNP'), ('Track', 'NNP'), ('Linda', 'NNP'), ('Sims', 'NNP'), ('specialist', 'NN'), ('NutritionalTherapist', 'NNP'), ('talks', 'NNS'), ('about', 'RB'), ('fasting', 'NN'), ('and', 'CC'), ('other', 'JJ'), ('therapies', 'NNS'), ('to', 'TO'), ('improve', 'VB'), ('chemo', 'NN'), ('&', 'CC'), ('amp', 'NN'), ('manage', 'VB'), ('side-effects', 'NNS'), ('👉', 'JJ'), ('🎧', 'NNP'), ('https', 'NN'), ('//t.co/36jM57PX8e', 'JJ'), ('IntegrativeMedicine', 'NNP'), ('oncology', 'NN'), ('cancer', 'NN'), ('https', 'NN'), ('//t.co/9E0ytK2eN1', 'NN')]","Sentiment(polarity=0.037500000000000006, subjectivity=0.4875)",0.037500000000000006,0.4875,"['yestolife', 'rmk_daly', '@ ukhealthradio', 'fast', 'linda sims', 'specialist #', 'nutritionaltherapist', '# chemo', 'manage side-effects', '👉 🎧 https', '//t.co/36jm57px8e #', 'integrativemedicine', '# oncology # cancer https']",he @YesToLife show posted by @RMK_Daly on @ukhealthradio - In the Last Track - Mind Aims specialist #NutritionalTherapist talks about #fasting and other therapist to improve #them &amp; manage side-effects. 👉 🎧   http://t.co/36jM57PX8e #IntegrativeMedicine #oncology #cancer http://t.co/9E0ytK2eN1,"['he', '@', 'YesToLife', 'show', 'hosted', 'by', '@', 'RMK_Daly', 'on', '@', 'ukhealthradio', '-', 'On', 'the', 'Fast', 'Track', '-', 'Linda', 'Sims', 'specialist', '#', 'NutritionalTherapist', 'talks', 'about', '#', 'fasting', 'and', 'other', 'therapies', 'to', 'improve', '#', 'chemo', '&', 'amp', ';', 'manage', 'side-effects', '.', '👉', '🎧', 'https', ':', '//t.co/36jM57PX8e', '#', 'IntegrativeMedicine', '#', 'oncology', '#', 'cancer', 'https', ':', '//t.co/9E0ytK2eN1']"
