Fichier,ID,Nb retweet,Nb like,Nb réponses,Nb citations,Hashtags,Texte,Mots,Phrases,Tags POS,Sentiment,Polarité,Subjectivité,Phrases nominales,Texte corrigé,Texte tokénizé
721916579533950976.json,721916579533950976,0,0,0,0,"['#CANCER', '#SPORT', '#PARENTING', '#SCHOOL', '#TURF', '#GRASS', '#LAWN']",Is artificial turf giving athletes #cancer ? - #Sport - 👨‍👩‍👧‍👦 🏃🏻 🏑 #parenting #school #turf #grass #lawn -  https://t.co/jFxpaaKQtk,"['Is', 'artificial', 'turf', 'giving', 'athletes', 'cancer', 'Sport', '👨\u200d👩\u200d👧\u200d👦', '🏃🏻', '🏑', 'parenting', 'school', 'turf', 'grass', 'lawn', 'https', 't.co/jFxpaaKQtk']","[Sentence(""Is artificial turf giving athletes #cancer ?""), Sentence(""- #Sport - 👨‍👩‍👧‍👦 🏃🏻 🏑 #parenting #school #turf #grass #lawn -  https://t.co/jFxpaaKQtk"")]","[('Is', 'VBZ'), ('artificial', 'JJ'), ('turf', 'NN'), ('giving', 'VBG'), ('athletes', 'NNS'), ('cancer', 'NN'), ('Sport', 'NNP'), ('👨\u200d👩\u200d👧\u200d👦', 'NN'), ('🏃🏻', 'NNP'), ('🏑', 'NNP'), ('parenting', 'VBG'), ('school', 'NN'), ('turf', 'NN'), ('grass', 'NN'), ('lawn', 'NN'), ('https', 'NN'), ('//t.co/jFxpaaKQtk', 'NN')]","Sentiment(polarity=-0.6, subjectivity=1.0)",-0.6,1.0,"['artificial turf', 'athletes # cancer', 'sport', '👨\u200d👩\u200d👧\u200d👦 🏃🏻 🏑 #', '# school # turf # grass # lawn']",Is artificial turf giving athletes #cancer ? - #Port - 👨‍👩‍👧‍👦 🏃🏻 🏑 #printing #school #turf #grass #lawn -  http://t.co/jFxpaaKQtk,"['Is', 'artificial', 'turf', 'giving', 'athletes', '#', 'cancer', '?', '-', '#', 'Sport', '-', '👨\u200d👩\u200d👧\u200d👦', '🏃🏻', '🏑', '#', 'parenting', '#', 'school', '#', 'turf', '#', 'grass', '#', 'lawn', '-', 'https', ':', '//t.co/jFxpaaKQtk']"
238304774825603072.json,238304774825603072,0,1,0,0,"['#CANCER', '#SPORT']","Frankel's victory at York made me feel '20 years better', says trainer Sir Henry Cecil, as he battles #cancer http://t.co/LAHunRhV #Sport","['Frankel', ""'s"", 'victory', 'at', 'York', 'made', 'me', 'feel', ""'20"", 'years', 'better', 'says', 'trainer', 'Sir', 'Henry', 'Cecil', 'as', 'he', 'battles', 'cancer', 'http', 't.co/LAHunRhV', 'Sport']","[Sentence(""Frankel's victory at York made me feel '20 years better', says trainer Sir Henry Cecil, as he battles #cancer http://t.co/LAHunRhV #Sport"")]","[('Frankel', 'NNP'), (""'s"", 'POS'), ('victory', 'NN'), ('at', 'IN'), ('York', 'NNP'), ('made', 'VBD'), ('me', 'PRP'), ('feel', 'VB'), (""'20"", 'CD'), ('years', 'NNS'), ('better', 'RBR'), ('says', 'VBZ'), ('trainer', 'NN'), ('Sir', 'NNP'), ('Henry', 'NNP'), ('Cecil', 'NNP'), ('as', 'IN'), ('he', 'PRP'), ('battles', 'VBZ'), ('cancer', 'NN'), ('http', 'NN'), ('//t.co/LAHunRhV', 'JJ'), ('Sport', 'NN')]","Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,"['frankel', ""'s victory"", 'york', ""'20 years"", 'sir henry cecil', 'battles # cancer http', '//t.co/lahunrhv #', 'sport']","Fraenkel's victory at Work made me feel '20 years better', says trainer Air Henry Cecil, as he battles #cancer http://t.co/LAHunRhV #Port","['Frankel', ""'s"", 'victory', 'at', 'York', 'made', 'me', 'feel', ""'20"", 'years', 'better', ""'"", ',', 'says', 'trainer', 'Sir', 'Henry', 'Cecil', ',', 'as', 'he', 'battles', '#', 'cancer', 'http', ':', '//t.co/LAHunRhV', '#', 'Sport']"
1007390700726575104.json,1007390700726575104,0,4,1,0,"['#SPORT', '#CANCER']","READ THIS! What an absolutely brilliant piece about #sport tribes, surviving #cancer and suffering by @socialchanger. Dude... And honor and privilege to know you. Continue to inspire us young man. And I know your next season will be a great one! https://t.co/IdS2K8TdgE","['READ', 'THIS', 'What', 'an', 'absolutely', 'brilliant', 'piece', 'about', 'sport', 'tribes', 'surviving', 'cancer', 'and', 'suffering', 'by', 'socialchanger', 'Dude', 'And', 'honor', 'and', 'privilege', 'to', 'know', 'you', 'Continue', 'to', 'inspire', 'us', 'young', 'man', 'And', 'I', 'know', 'your', 'next', 'season', 'will', 'be', 'a', 'great', 'one', 'https', 't.co/IdS2K8TdgE']","[Sentence(""READ THIS!""), Sentence(""What an absolutely brilliant piece about #sport tribes, surviving #cancer and suffering by @socialchanger.""), Sentence(""Dude... And honor and privilege to know you.""), Sentence(""Continue to inspire us young man.""), Sentence(""And I know your next season will be a great one!""), Sentence(""https://t.co/IdS2K8TdgE"")]","[('READ', 'VB'), ('THIS', 'NN'), ('What', 'WP'), ('an', 'DT'), ('absolutely', 'RB'), ('brilliant', 'JJ'), ('piece', 'NN'), ('about', 'IN'), ('sport', 'NN'), ('tribes', 'NNS'), ('surviving', 'VBG'), ('cancer', 'NN'), ('and', 'CC'), ('suffering', 'NN'), ('by', 'IN'), ('@', 'JJ'), ('socialchanger', 'NN'), ('Dude', 'NN'), ('And', 'CC'), ('honor', 'VB'), ('and', 'CC'), ('privilege', 'VB'), ('to', 'TO'), ('know', 'VB'), ('you', 'PRP'), ('Continue', 'NNP'), ('to', 'TO'), ('inspire', 'VB'), ('us', 'PRP'), ('young', 'JJ'), ('man', 'NN'), ('And', 'CC'), ('I', 'PRP'), ('know', 'VBP'), ('your', 'PRP$'), ('next', 'JJ'), ('season', 'NN'), ('will', 'MD'), ('be', 'VB'), ('a', 'DT'), ('great', 'JJ'), ('one', 'CD'), ('https', 'NN'), ('//t.co/IdS2K8TdgE', 'NN')]","Sentiment(polarity=0.5, subjectivity=0.5375)",0.5,0.5375,"['read this', 'brilliant piece', '# sport tribes', '# cancer', '@ socialchanger', 'dude', 'continue', 'young man']","READ THIS! That an absolutely brilliant piece about #sport tribes, surviving #cancer and suffering by @socialchanger. Rude... And honor and privilege to know you. Continue to inspire us young man. And I know your next season will be a great one! http://t.co/IdS2K8TdgE","['READ', 'THIS', '!', 'What', 'an', 'absolutely', 'brilliant', 'piece', 'about', '#', 'sport', 'tribes', ',', 'surviving', '#', 'cancer', 'and', 'suffering', 'by', '@', 'socialchanger', '.', 'Dude', '...', 'And', 'honor', 'and', 'privilege', 'to', 'know', 'you', '.', 'Continue', 'to', 'inspire', 'us', 'young', 'man', '.', 'And', 'I', 'know', 'your', 'next', 'season', 'will', 'be', 'a', 'great', 'one', '!', 'https', ':', '//t.co/IdS2K8TdgE']"
668965073889697795.json,668965073889697795,0,0,0,0,"['#CANCER', '#STROKE', '#SPORT']","MJA InSight News: #Cancer survivors, exercise barriers, atopic dermatitis, bilingualism in #stroke, #sport genetics https://t.co/f13ECV5ebP","['MJA', 'InSight', 'News', 'Cancer', 'survivors', 'exercise', 'barriers', 'atopic', 'dermatitis', 'bilingualism', 'in', 'stroke', 'sport', 'genetics', 'https', 't.co/f13ECV5ebP']","[Sentence(""MJA InSight News: #Cancer survivors, exercise barriers, atopic dermatitis, bilingualism in #stroke, #sport genetics https://t.co/f13ECV5ebP"")]","[('MJA', 'NNP'), ('InSight', 'NNP'), ('News', 'NNP'), ('Cancer', 'NNP'), ('survivors', 'NNS'), ('exercise', 'NN'), ('barriers', 'NNS'), ('atopic', 'NN'), ('dermatitis', 'NN'), ('bilingualism', 'NN'), ('in', 'IN'), ('stroke', 'NN'), ('sport', 'NN'), ('genetics', 'NNS'), ('https', 'NN'), ('//t.co/f13ECV5ebP', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['mja insight', '# cancer survivors', 'atopic dermatitis', '# stroke', '# sport genetics https']","MJA night News: #Cancer survivor, exercise barriers, topic dermatitis, bilingualism in #stroke, #sport genetic http://t.co/f13ECV5ebP","['MJA', 'InSight', 'News', ':', '#', 'Cancer', 'survivors', ',', 'exercise', 'barriers', ',', 'atopic', 'dermatitis', ',', 'bilingualism', 'in', '#', 'stroke', ',', '#', 'sport', 'genetics', 'https', ':', '//t.co/f13ECV5ebP']"
1098650711049555968.json,1098650711049555968,2,1,0,0,"['#HEALTH', '#CANCER', '#SPORT']",When #health #cancer &amp; #sport are inextricably linked. Amazing youngsters who still have the stamina to play soccer despite their diagnosis... https://t.co/0RIpSecm3x,"['When', 'health', 'cancer', 'amp', 'sport', 'are', 'inextricably', 'linked', 'Amazing', 'youngsters', 'who', 'still', 'have', 'the', 'stamina', 'to', 'play', 'soccer', 'despite', 'their', 'diagnosis', 'https', 't.co/0RIpSecm3x']","[Sentence(""When #health #cancer &amp; #sport are inextricably linked.""), Sentence(""Amazing youngsters who still have the stamina to play soccer despite their diagnosis... https://t.co/0RIpSecm3x"")]","[('When', 'WRB'), ('health', 'NN'), ('cancer', 'NN'), ('&', 'CC'), ('amp', 'NN'), ('sport', 'NN'), ('are', 'VBP'), ('inextricably', 'RB'), ('linked', 'VBN'), ('Amazing', 'JJ'), ('youngsters', 'NNS'), ('who', 'WP'), ('still', 'RB'), ('have', 'VBP'), ('the', 'DT'), ('stamina', 'NN'), ('to', 'TO'), ('play', 'VB'), ('soccer', 'NN'), ('despite', 'IN'), ('their', 'PRP$'), ('diagnosis', 'NN'), ('https', 'NN'), ('//t.co/0RIpSecm3x', 'NN')]","Sentiment(polarity=0.6000000000000001, subjectivity=0.9)",0.6000000000000001,0.9,"['# health # cancer', '# sport', 'amazing', 'diagnosis ... https']",When #health #cancer &amp; #sport are inextricably linked. Amazing youngsters who still have the staying to play soccer despite their diagnosis... http://t.co/0RIpSecm3x,"['When', '#', 'health', '#', 'cancer', '&', 'amp', ';', '#', 'sport', 'are', 'inextricably', 'linked', '.', 'Amazing', 'youngsters', 'who', 'still', 'have', 'the', 'stamina', 'to', 'play', 'soccer', 'despite', 'their', 'diagnosis', '...', 'https', ':', '//t.co/0RIpSecm3x']"
1181438919583391749.json,1181438919583391749,1,2,0,0,"['#LADIES', '#BREASTCANCER', '#BREASTCANCERAWARENESSMONTH', '#CANCER', '#POLO', '#SPORTOFKINGS', '#SPORT', '#EVENT', '#DUBAIEVENT', '#DUBAI', '#MYDUBAI', '#LOVINDUBAI', '#DUBAICALENDAR', '#DUBAICULTURE']","Help us honor those at every step of the cancer journey by raising awareness and give them hope.
.
.
.
.
.
.
.
#Ladies #BreastCancer #BreastCancerAwarenessMonth #Cancer #Polo #SportOfKings #Sport #Event #DubaiEvent #Dubai #MyDubai #LovinDubai #DubaiCalendar #DubaiCulture https://t.co/yNs4nwjGax","['Help', 'us', 'honor', 'those', 'at', 'every', 'step', 'of', 'the', 'cancer', 'journey', 'by', 'raising', 'awareness', 'and', 'give', 'them', 'hope', 'Ladies', 'BreastCancer', 'BreastCancerAwarenessMonth', 'Cancer', 'Polo', 'SportOfKings', 'Sport', 'Event', 'DubaiEvent', 'Dubai', 'MyDubai', 'LovinDubai', 'DubaiCalendar', 'DubaiCulture', 'https', 't.co/yNs4nwjGax']","[Sentence(""Help us honor those at every step of the cancer journey by raising awareness and give them hope.""), Sentence("".""), Sentence("".""), Sentence("".""), Sentence("".""), Sentence("".""), Sentence("".""), Sentence("".""), Sentence(""#Ladies #BreastCancer #BreastCancerAwarenessMonth #Cancer #Polo #SportOfKings #Sport #Event #DubaiEvent #Dubai #MyDubai #LovinDubai #DubaiCalendar #DubaiCulture https://t.co/yNs4nwjGax"")]","[('Help', 'NNP'), ('us', 'PRP'), ('honor', 'VBP'), ('those', 'DT'), ('at', 'IN'), ('every', 'DT'), ('step', 'NN'), ('of', 'IN'), ('the', 'DT'), ('cancer', 'NN'), ('journey', 'NN'), ('by', 'IN'), ('raising', 'VBG'), ('awareness', 'NN'), ('and', 'CC'), ('give', 'VB'), ('them', 'PRP'), ('hope', 'NN'), ('Ladies', 'NNP'), ('BreastCancer', 'NNP'), ('BreastCancerAwarenessMonth', 'NNP'), ('Cancer', 'NNP'), ('Polo', 'NNP'), ('SportOfKings', 'NNP'), ('Sport', 'NNP'), ('Event', 'NNP'), ('DubaiEvent', 'NNP'), ('Dubai', 'NNP'), ('MyDubai', 'NNP'), ('LovinDubai', 'NNP'), ('DubaiCalendar', 'NNP'), ('DubaiCulture', 'NNP'), ('https', 'NN'), ('//t.co/yNs4nwjGax', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['cancer journey', 'ladies', 'breastcancer', 'breastcancerawarenessmonth', '# cancer # polo #', 'sportofkings', 'sport', 'event', 'dubaievent', 'dubai', 'mydubai', 'lovindubai', 'dubaicalendar', 'dubaiculture']","Help us honor those at every step of the cancer journey by raising awareness and give them hope.
.
.
.
.
.
.
.
#Ladies #BreastCancer #BreastCancerAwarenessMonth #Cancer #Solo #SportOfKings #Port #Event #DubaiEvent #Cuba #MyDubai #LovinDubai #DubaiCalendar #DubaiCulture http://t.co/yNs4nwjGax","['Help', 'us', 'honor', 'those', 'at', 'every', 'step', 'of', 'the', 'cancer', 'journey', 'by', 'raising', 'awareness', 'and', 'give', 'them', 'hope', '.', '.', '.', '.', '.', '.', '.', '.', '#', 'Ladies', '#', 'BreastCancer', '#', 'BreastCancerAwarenessMonth', '#', 'Cancer', '#', 'Polo', '#', 'SportOfKings', '#', 'Sport', '#', 'Event', '#', 'DubaiEvent', '#', 'Dubai', '#', 'MyDubai', '#', 'LovinDubai', '#', 'DubaiCalendar', '#', 'DubaiCulture', 'https', ':', '//t.co/yNs4nwjGax']"
639153663026569216.json,639153663026569216,0,0,0,0,"['#CHARITY', '#QUIZ', '#CANCER', '#NIGHTOUT', '#PLYMOUTH', '#MUSIC', '#SPORT', '#ENTERTAINMENT', '#TV', '#RAFFLE']","#Charity #Quiz for #Cancer Research UK.19 Sep #NightOut #Plymouth #Music, #Sport, #Entertainment, #TV #Raffle. @CR_UK http://t.co/SevoGd69xj","['Charity', 'Quiz', 'for', 'Cancer', 'Research', 'UK.19', 'Sep', 'NightOut', 'Plymouth', 'Music', 'Sport', 'Entertainment', 'TV', 'Raffle', 'CR_UK', 'http', 't.co/SevoGd69xj']","[Sentence(""#Charity #Quiz for #Cancer Research UK.19 Sep #NightOut #Plymouth #Music, #Sport, #Entertainment, #TV #Raffle.""), Sentence(""@CR_UK http://t.co/SevoGd69xj"")]","[('Charity', 'NNP'), ('Quiz', 'NNP'), ('for', 'IN'), ('Cancer', 'NNP'), ('Research', 'NNP'), ('UK.19', 'NNP'), ('Sep', 'NNP'), ('NightOut', 'NNP'), ('Plymouth', 'NNP'), ('Music', 'NNP'), ('Sport', 'NNP'), ('Entertainment', 'NNP'), ('TV', 'NN'), ('Raffle', 'NNP'), ('@', 'JJ'), ('CR_UK', 'NNP'), ('http', 'NN'), ('//t.co/SevoGd69xj', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['charity', 'quiz', '# cancer research', 'uk.19 sep', 'nightout', 'plymouth', '# music', 'sport', 'entertainment', '# tv #', 'raffle', 'cr_uk']","#Charity #Ruin for #Cancer Research of.19 Rep #NightOut #Plymouth #Music, #Port, #Entertainment, #of #Baffled. @CR_UK http://t.co/SevoGd69xj","['#', 'Charity', '#', 'Quiz', 'for', '#', 'Cancer', 'Research', 'UK.19', 'Sep', '#', 'NightOut', '#', 'Plymouth', '#', 'Music', ',', '#', 'Sport', ',', '#', 'Entertainment', ',', '#', 'TV', '#', 'Raffle', '.', '@', 'CR_UK', 'http', ':', '//t.co/SevoGd69xj']"
1137148734821679105.json,1137148734821679105,0,0,0,0,"['#FF', '#CANCER', '#CBD', '#PAIN', '#PUREGOLD', '#RHEUMATISM', '#THC', '#HEMP', '#CANNABIS', '#CBDOIL', '#HEALTH', '#SPORT']","💗USE IT💗USE IT💗USE IT💗
O N L Y  B E N E F I T S  F O R  Y O U

https://t.co/vH3lxNxro4     

THIS hemp oil is listed in USA DRUG list

#ff #cancer #cbd #pain #puregold #rheumatism #thc #hemp #cannabis #cbdoil #health #sport 
@Spencerjames211
@DSwyderski
@Randialso
@nealhailey https://t.co/1FQDgNyBJd","['💗USE', 'IT💗USE', 'IT💗USE', 'IT💗', 'O', 'N', 'L', 'Y', 'B', 'E', 'N', 'E', 'F', 'I', 'T', 'S', 'F', 'O', 'R', 'Y', 'O', 'U', 'https', 't.co/vH3lxNxro4', 'THIS', 'hemp', 'oil', 'is', 'listed', 'in', 'USA', 'DRUG', 'list', 'ff', 'cancer', 'cbd', 'pain', 'puregold', 'rheumatism', 'thc', 'hemp', 'cannabis', 'cbdoil', 'health', 'sport', 'Spencerjames211', 'DSwyderski', 'Randialso', 'nealhailey', 'https', 't.co/1FQDgNyBJd']","[Sentence(""💗USE IT💗USE IT💗USE IT💗
O N L Y  B E N E F I T S  F O R  Y O U

https://t.co/vH3lxNxro4     

THIS hemp oil is listed in USA DRUG list

#ff #cancer #cbd #pain #puregold #rheumatism #thc #hemp #cannabis #cbdoil #health #sport 
@Spencerjames211
@DSwyderski
@Randialso
@nealhailey https://t.co/1FQDgNyBJd"")]","[('💗USE', 'NN'), ('IT💗USE', 'NNP'), ('IT💗USE', 'NNP'), ('IT💗', 'NNP'), ('O', 'NNP'), ('N', 'NNP'), ('L', 'NNP'), ('Y', 'NNP'), ('B', 'NNP'), ('E', 'NNP'), ('N', 'NNP'), ('E', 'NNP'), ('F', 'NNP'), ('I', 'PRP'), ('T', 'VBP'), ('S', 'NNP'), ('F', 'NNP'), ('O', 'NNP'), ('R', 'NNP'), ('Y', 'NNP'), ('O', 'NNP'), ('U', 'NNP'), ('https', 'NN'), ('//t.co/vH3lxNxro4', 'NN'), ('THIS', 'NNP'), ('hemp', 'NN'), ('oil', 'NN'), ('is', 'VBZ'), ('listed', 'VBN'), ('in', 'IN'), ('USA', 'NNP'), ('DRUG', 'NNP'), ('list', 'NN'), ('ff', 'JJ'), ('cancer', 'NN'), ('cbd', 'JJ'), ('pain', 'NN'), ('puregold', 'JJ'), ('rheumatism', 'NN'), ('thc', 'JJ'), ('hemp', 'JJ'), ('cannabis', 'JJ'), ('cbdoil', 'NN'), ('health', 'NN'), ('sport', 'NN'), ('@', 'NNP'), ('Spencerjames211', 'NNP'), ('@', 'NNP'), ('DSwyderski', 'NNP'), ('@', 'NNP'), ('Randialso', 'NNP'), ('@', 'NNP'), ('nealhailey', 'JJ'), ('https', 'NN'), ('//t.co/1FQDgNyBJd', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['it💗use it💗use it💗', 'e n e', 's f o', 'r y', 'this', 'hemp oil', 'usa drug', 'list # ff # cancer # cbd # pain # puregold # rheumatism # thc # hemp # cannabis # cbdoil # health # sport @', 'spencerjames211', 'dswyderski', 'randialso', '@ nealhailey https']","💗USE of💗USE of💗USE of💗
O N L Y  B E N E F I T S  F O R  Y O U

http://t.co/vH3lxNxro4     

THIS hemp oil is listed in USA DRUG list

#ff #cancer #cod #pain #puregold #rheumatism #the #hemp #connais #boil #health #sport 
@Spencerjames211
@DSwyderski
@Randialso
@nealhailey http://t.co/1FQDgNyBJd","['💗USE', 'IT💗USE', 'IT💗USE', 'IT💗', 'O', 'N', 'L', 'Y', 'B', 'E', 'N', 'E', 'F', 'I', 'T', 'S', 'F', 'O', 'R', 'Y', 'O', 'U', 'https', ':', '//t.co/vH3lxNxro4', 'THIS', 'hemp', 'oil', 'is', 'listed', 'in', 'USA', 'DRUG', 'list', '#', 'ff', '#', 'cancer', '#', 'cbd', '#', 'pain', '#', 'puregold', '#', 'rheumatism', '#', 'thc', '#', 'hemp', '#', 'cannabis', '#', 'cbdoil', '#', 'health', '#', 'sport', '@', 'Spencerjames211', '@', 'DSwyderski', '@', 'Randialso', '@', 'nealhailey', 'https', ':', '//t.co/1FQDgNyBJd']"
394930834311880704.json,394930834311880704,1,0,1,0,"['#CHESHIREHOUR', '#CHARITIES', '#CANCER', '#CHILDREN', '#SPORT', '#EDUCATION']",#cheshirehour Looking for #charities to work with in 2014 #cancer #children #sport #education Contact us at http://t.co/b1B3wC2axe,"['cheshirehour', 'Looking', 'for', 'charities', 'to', 'work', 'with', 'in', '2014', 'cancer', 'children', 'sport', 'education', 'Contact', 'us', 'at', 'http', 't.co/b1B3wC2axe']","[Sentence(""#cheshirehour Looking for #charities to work with in 2014 #cancer #children #sport #education Contact us at http://t.co/b1B3wC2axe"")]","[('cheshirehour', 'NN'), ('Looking', 'VBG'), ('for', 'IN'), ('charities', 'NNS'), ('to', 'TO'), ('work', 'VB'), ('with', 'IN'), ('in', 'IN'), ('2014', 'CD'), ('cancer', 'NN'), ('children', 'NNS'), ('sport', 'NN'), ('education', 'NN'), ('Contact', 'NNP'), ('us', 'PRP'), ('at', 'IN'), ('http', 'NN'), ('//t.co/b1B3wC2axe', 'NN')]","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,"['# cheshirehour', 'looking', '# charities', '# cancer # children # sport # education', 'contact']",#cheshirehour Looking for #charities to work with in 2014 #cancer #children #sport #education Contact us at http://t.co/b1B3wC2axe,"['#', 'cheshirehour', 'Looking', 'for', '#', 'charities', 'to', 'work', 'with', 'in', '2014', '#', 'cancer', '#', 'children', '#', 'sport', '#', 'education', 'Contact', 'us', 'at', 'http', ':', '//t.co/b1B3wC2axe']"
614540412334776321.json,614540412334776321,0,1,0,0,"['#SPORT', '#CHARITY', '#CANCER', '#FUNDRAISING']","Heat and polution : bad conditions to train,but don’t give up !!!
(1000 m – 400 m – 400 m – 1000 m) x 2
#sport #charity #Cancer #fundraising","['Heat', 'and', 'polution', 'bad', 'conditions', 'to', 'train', 'but', 'don', '’', 't', 'give', 'up', '1000', 'm', '–', '400', 'm', '–', '400', 'm', '–', '1000', 'm', 'x', '2', 'sport', 'charity', 'Cancer', 'fundraising']","[Sentence(""Heat and polution : bad conditions to train,but don’t give up !""), Sentence(""!!""), Sentence(""(1000 m – 400 m – 400 m – 1000 m) x 2
#sport #charity #Cancer #fundraising"")]","[('Heat', 'NNP'), ('and', 'CC'), ('polution', 'NN'), ('bad', 'JJ'), ('conditions', 'NNS'), ('to', 'TO'), ('train', 'VB'), ('but', 'CC'), ('don', 'VBZ'), ('’', 'JJ'), ('t', 'NNS'), ('give', 'VBP'), ('up', 'RP'), ('1000', 'CD'), ('m', 'NN'), ('–', 'VBD'), ('400', 'CD'), ('m', 'NN'), ('–', 'VBD'), ('400', 'CD'), ('m', 'NN'), ('–', 'NN'), ('1000', 'CD'), ('m', 'NN'), ('x', 'VBZ'), ('2', 'CD'), ('sport', 'NN'), ('charity', 'NN'), ('Cancer', 'NNP'), ('fundraising', 'VBG')]","Sentiment(polarity=-1.0, subjectivity=0.6666666666666666)",-1.0,0.6666666666666666,"['heat', 'bad conditions', 'don ’ t', 'm –', 'm –', 'm –', '# sport # charity # cancer #']","Seat and solution : bad conditions to train,but don’t give up !!!
(1000 m – 400 m – 400 m – 1000 m) x 2
#sport #charity #Cancer #fundraising","['Heat', 'and', 'polution', ':', 'bad', 'conditions', 'to', 'train', ',', 'but', 'don', '’', 't', 'give', 'up', '!', '!', '!', '(', '1000', 'm', '–', '400', 'm', '–', '400', 'm', '–', '1000', 'm', ')', 'x', '2', '#', 'sport', '#', 'charity', '#', 'Cancer', '#', 'fundraising']"
