id,Text,Opinion
649183919917527040,"There Is No Mistaking The Evidence, #Cannabis Cures #Cancer |#marijuana #medicalmarijuana #cancercure #cancerkiller http",for
786890350866604032,"My feature for @user on #cancer, #cannabinoids, #cannabis and the legal challenges facing patients and dr's http",against
27722397427,"Brain Cancer Cure? - Cannabis & Cannabinoids, by Robert Melamede, PhD  http     #cannabis #marijuana #cancer #weed #420 #AZ",for
608137693185343488,"Cannabis= Anti Cancer
http://t.co/1DGPVyPago

#marijuana #cannabis #cancer #hemp  #vote   #cbd http",for
963730861790199808,"Marijuana Australia: ""93.7% of the respondents reported improvement in their condition and the reported pain level was reduced from a median of 8 on a scale of 0-10 to a median of 4."" #AUSPOL #CannabisAmnesty #Elderly #Cannabis #Cancer http",for
1012172210948038657,"$ESE will Develop its #Cancer Fighting #Cannabis #EFluids ..in ISRAEL 
and be Sold .. WORLDWIDE = winner",for
917819805071179777,"#Cannabis &amp; Cancer?: #Research with Human Subjects to Start Next Year
#SophiesStory #Cancer
https://t.co/ohpiaZjPej http",for
213322748058017793,Educate others and spread the word! #cannabis #cancer #hashoil #SimpsonOil #mmj U never know whose life u might change! http,for
630497852066803712,"Medical Marijuana Can Ease #Pain and Lessen Side Effects

http://t.co/lNFYjrsyuJ 
#marijuana #cannabis #cancer http",for
545878998366957569,Incredible people who've overcome #cancer through #sport and #inspired others @user @user @user @user,for
681547498436063233,"#Cancer patient says medical #marijuana has changed her life 

https://t.co/epXP9Wj703  #MME      
 #cannabis http",for
568168691994644480,"Joe Banning

#cancer #marijuana #cannabis #hemp #dank #vote #medicalmarijuana #kush #dabs #cbd #epilepsy #VT http",neutral
605357214077984769,"Terry McAuliffe
http://t.co/bv4BESvuER

#cancer #marijuana #cannabis #kush #dabs #cbd #epilepsy http",neutral
570836256642486272,"Cannabis, A Potent Pain Reliever 

#cannabis #depression #health #medical #medicalmarijuana #choice #cancer http",for
1351867707449196545,"Hits From A Bong: My First BONG 
(just turned 63) How-To-420
#marijuana #cannabis #PhoenixTears 
#MedicalMarijuana #Disability #ChronicPain 
#Cancer #SurvivorXTwo #SoFar 
#CantWeAllJustGetEhBong  http",neutral
667736681907253248,"6 Days after #CannabisOil, Girl's #Leukemia went into #Remission |#Cannabis #MedicalMarijuana #CureCancer #Cancer http",for
720745715459174402,#DrCristinaSanchez talks to us about the #endocannabinoidsystem #cannabis and #cancer http,neutral
582356022477631488,"Patty Murray
http://t.co/v2bihH8VRB

#cancer #marijuana #cannabis #hemp #kush #dabs #cbd #epilepsy #thc http",neutral
657886267208695808,Numerous Human Clinical Trials of #Cannabis for #Cancer in 2015 |#MMJ #MedicalMarijuana #CBD #CannabisOil #Marijuana http,for
1028648673054314496,"You know #cannabis has got a great fighting spirit. It fights the devil called #Cancer.

#cancerfree",for
771577471388884992,First #cannabis and #cancer studies done in the 1970s: the secret road to synthetic #THC medication. http,for
1032277212349779969,"$GOVX Announced Appointment of David Dodd as Chairman, President and Chief Executive Officer  http  #IHub_StockPosts #ad #wsj #nytimes #reuters #bloomberg #gas  #business #cnn #bet #foxnews #bitcoin #blockchain #crypto #oil #energy #cannabis #CBD #cancer http",neutral
338524483461726210,"""[B]oth delta-9-#THC &amp; delta-8-#THC caused a sharp decline in the respiratory rate of oral #cancer cells."" (Werner 29)  #pot #cannabis",for
650062797716516864,"13-Year-Old is Kickin' #Cancer with #Cannabis Oil

http://t.co/oJKmde6XAj 

#medicalmarijuana #hempoil http",for
671641005469356032,"Cannabis reduces tumor growth in study 
https://t.co/DBq3O2YKOm  
#MME #cannabis #cancer #marijuana http",for
625490155814670336,"American Cancer Society 
http://t.co/1gzdbb9puy

#cancer #marijuana #cannabis #hemp  #kush #dabs #cbd http",neutral
756734447102332928,"20 Medical Studies That Show #Cannabis Can Be A Potential Cure For #Cancer 
https://t.co/ic8lEtXqJJ  http",for
891691578800164864,Learn how #cannabis helps with #cancer #inflammation #stress #anxiety and #chronicpain at our Conference in July! http http,for
622010285197512704,"A #Cancer patient's journey with Medical #Marijuana. 

http://t.co/A899wsCJjp 
#cannabis #thc #cbd #Cancer #hempoil http",for
1006251986424131584,Lung #cancer patient SHRUNK tumour using #CBDOil - http #CBD #Hemp #HempOil #Cannabis #CannabisCommunity http,for
682708899561127937,"#Cancer patient says medical #marijuana has changed her life 

https://t.co/DJrfumpImi  #MME      
 #cannabis http",for
587225272417705984,"RT weedpraylove: RT MME_VIRGINIABCH: Cancer - Anti Tumorous

http://t.co/v2Cb17S3Do  #news #Ny
#cancer #marijuana #cannabis #hemp ",for
756134232288878592,"Cannakids, #Cancer, and #Kids, Because That Is How We Roll #cannabis #marijuana @user http http",for
893631618526707713,"Cannabis Oil cures 3-year-old boy of cancer after doctors gave him 48 hours to live
https://t.co/kGlRmylSvH
#cancer #CBD #cannabis",for
568634806017376256,"Joe Banning

#cancer #marijuana #cannabis #hemp #dank #vote #medicalmarijuana #kush #dabs #cbd #epilepsy #VT http",neutral
1182675504836612098,The woman does not even know Jesus Loves the Little Children song ~ #Democrats #MedicareForAll #Cannabis as our food and medicine #GreenNewDeal #BanFracking because #ExxonKnew 1977 ~ 1974 they found Cannabis stops #Cancer then #Congress moved #Marijuana to Schedule 1 ~ http,for
655627633338642432,Make #CannabisOil available to all #Cancer patients as a treatment option. |#Cannabis #CancerCure #Petition #NORML http,for
1065373417682157568,"If you want to stop smoking #cannabisoil could help you, every time you feel the urge to smoke just take a drop and the erge disappears #thc #cbd #cannabis #weedoil #mmj #wietolie #CB1 #CB2 #cancer #epileptic #opiatreplcement #AIDS #copd #apneu 
I stopped.. now you.. http",for
1019295676528816133,Cannabis and #cancer: Here's what the #research says. #cannabis #news http http,neutral
645639139669471232,"Cannabinoids and cancer
http://t.co/YaTPczeXGH

#MME #cancer #cannabis #cbd #marijuana http",neutral
670373341245661184,"Cancer patient: 'I had to become an outlaw or die' 

https://t.co/1G6x9hMjFE  via @user #MME #Cancer #Cannabis http",for
495757202398134273,"10 Facts About Marijuana 
 via @user #cannabis #thc #cancer #epilepsy #seizures #cure #USA http",neutral
1344685756556734464,"#Fasting can improve you both #mentally and #physically. It boosts your #focus and improves your health, and can even be an anti-#cancer tool:

https://t.co/3khGURXjZB",for
799507320598302720,#WeedNews!!! #Cannabis kills #cancer! #fuckcancer http,for
393912193257070592,"""@Medcanpoet: @user #Cannabis - It cures #Cancer.  Legalize it.  
End The #WarBetweenDrugs. http",for
440126090950877184,The How and Why of Intermittent Fasting: http #fasting #weightloss #cancer,for
767834609753153536,"Father who claimed #cannabis #oil cured his #cancer dies a year later aged just 34 #weed #smoke 
https://t.co/9g3gocAxQk",against
657006571201896448,"Change it. 
From pink to Green.
#CccMrsReagan #cannabis #cancer http #Disobey http",for
801407024319918081,"Quote from USA's http ""#Cannabis has been shown to kill #cancer cells in the laboratory."" http",for
1282344282138050562,"Don't forget to register for our next National Virtual Event!
NEW FRONTIERS IN CANNABIS RESEARCH

Featuring Dr. David Meiri, PhD., Head of the Laboratory of Cancer Biology and Cannabinoid Research at Technion.

RSVP NOW!
https://t.co/ye3lAUFtTv

#Cannabis #Health #Cancer #talks http",for
1325858944430997504,"Medical Marijuana to Manage Cancer-Related Neuropathy
https://t.co/z52E6h56GF
@survivornetca 

#Cancer #medicalmarijuana #MedicalCannabis #Cannabis #Neuropathy http",for
606808385644818432,"Dr Donald Tashkin
http://t.co/LG5d5lUKNb

#marijuana #cannabis  #hemp #Cancer #medicalmarijuana http",neutral
930513271915810816,"Paul Bregman MD AACP
Cannabis expert
https://t.co/LitGXELdP5
Denver, CO  #cannabisresource #cannabisexpert #cannabisdoctor #cannabis #cannabisresource #medicinalcannabis #CannabisCommunity #terminalillness #autism #Cancer #OpioidEpidemic #opioidcrisis #cannabis http",for
652634236357345281,"THC and other #cannabinoids inhibit tumor growth
http://t.co/aef45fZoxl 
#cbd #cannabis #tumor #cancer #MME #hempoil http",for
1115565888881741824,"brianross2112: RT @user Not an either or proposition. 

1 out of 5  #cancer patients are using #cannabis medicine, most often as an adjunct &amp; complimentary treatment but sometimes as sole medicine to fight against the disease. Patient experience is http",for
872671306155732992,A MUST WATCH video if you have cancer - #cannabis oil drove away this man's advanced stage 4 #cancer http,for
634760310226833412,Could #Cannabis And #Cannabinoids #Cancer Treatment Come To The UK? http via @user,neutral
779417615810781184,"Retweeted MME (@THEMMEXCHANGE):

Cannabis And Cancer

 http #MME #cannabis #marijuana #Cancer... http",neutral
565363694474129408,"Mike McGinn

http://t.co/yKMsfKJibo
#cancer #marijuana #cannabis #hemp 
 #epilepsy #news http",neutral
673876706168541184,"""Medical Marijuana Helped Save This Child From #Cancer
https://t.co/WGvh8w8cv7  
#marijuana #cannabis #MME #Cancer http",for
637999426083127296,#Oncologists Want #Cannabis Legalized To Fight #Cancer - http #thc #cbd #hempoil #MME http,for
529425489710968832,"There's more to killing cancer than cannabis. It requires healthy diet, exercise, and joy. #cancer #cannabis #health http",for
819918263769583620,Checkout @user Story about #Cannabis &amp; #Cancer http http,neutral
867411983011917827,"#Cannabis is #proapoptotic: triggers #apoptosis (#cellular suicide) of #cancer leaving #healthy cells.
https://t.co/shcXtkYEwA Cannabis http",against
649703953135992832,"""Medical Marijuana Helped Save This Child From #Cancer
https://t.co/nPajX6iy4V 
#marijuana #cannabis #MME #Cancer http",for
267729165518778368,I'm in #DC 11/12/12 - 11/15/12  I champion for you @user @user #Cannabis is my #cancer cure! notwith0utafight@aol.com #mmj,for
579031077320265728,"Cannabis= Anti Cancer
http://t.co/yohMZfLVXN

#marijuana #cannabis #cancer #hemp  #vote   #cbd http",for
789117900120526848,"A New Study Suggests #Cannabis Could Treat Cervical #Cancer  
https://t.co/EPZJJLr6I8  http",for
921421109634961408,"Grateful for all my friends who have battled #cancer and debilitating conditions with #cannabis &amp; won
Keep sharing the #medicine",for
633231671660269568,"Medical #Cannabis to assist end-of-life cancer population 

http://t.co/DRSKr8dEQS  
#marijuana #cancer #choice http",for
584250746641743872,"Cannabis and  Cancer
http://t.co/X7TiCINPw0

#Cannabis #cancer #marijuana #medical #pain #thc, #cbd #hempoil #tumors http",neutral
629966735999897600,"Terminal #Bowel #Cancer Patient Had 18 Months To Live

* CURED BY #CANNABIS*

http://t.co/xWr0nSx5bj
#UK
#Medicine
#Testimonial
@HempWorksUK",for
909031689783046145,CBD #Cancer #medicalmarijuana #Cannabis Hash Plant Feminised Seeds http,for
480073072242728960,"According to #cannabis researcherscannabinoidswork against #cancer thru a # of diff. mechanisms."" (Werner 25)  #pot #cannabis #weed",for
682029917626871808,"#Cancer patient says medical #marijuana has changed her life 

https://t.co/QmmiaoPCWb  #MME      
 #cannabis http",for
875733144598663168,$CNBX Is taking off. First clinical test results in July 2017. This stock is going to explode. #cannabis #marijuana #cancer,for
511690892093030400,"""@BOBBNA: Just think...#THC #CANNABINOIDS #CBD
#Cancer #Cannabis #legalizemarijuana http",against
649341388115603457,"#Cancer Patient Given 18 Months To Live, Cured By #Cannabis Oil
http://t.co/FP3Lgsvhv8
#marijuana #thc  #MME http",for
649013469656784896,"Can #cannabis really reduce #cancer cells? - For patients with cancer, the only hope for treatment used to be diff... http",for
567769910080962560,"The Institute of Medicine

#marijuana #cannabis #terminal #choice #medical #pain #weed #cancer #epilepsy #medicine http",neutral
635708760980373504,"The #Cancer Scam Part One looks into the history of #cannabis in the U.S.
http://t.co/cGcSqYZ33Y",neutral
842545082574225408,"Okay, so maybe it doesn't #kill #cancer lol
#alcohol vs #marijuana #cannabis #weed http",against
589385833758777344,"Cannabis - Multiple Treatments

#cannabis #marijuana #medicalmarijuana #thc #cbd #cancer #MS #pain http",neutral
483399702801444864,Clearing the Smoke: The Science of #Cannabis #marijuana #cures #cancer @user #vote #legaizemarijuana #america http,neutral
906613196785627136,Does #Cannabis Cure Cancer? Man Who Discovered The Cause Of #Cancer Wrote A #Book On Curing It http http,neutral
860659178343411712,Congratulations #Texas #medicalmarijuana #cannabis #medicine #healTHCare #seizers #cancer #pain #legalize The... http,for
1014670074635055106,Listening to Andrew on @user talk about the silly SA #cannabis laws that #SAPARLI are proposing to inflict on our poorest and sickest. #cancer #epilepsy #dementia #autism #alzheimers #ms #cerebralpalsy #chronicpain #Crohns #parkinsons,against
697952349277519872,"Despite mounting evidence that #cannabis can help with many #cancer symptoms, Patients still denied access in U... http",for
1004205766734221318,#Cancer Institute Finally Admits #Cannabis Kills Cancer http,for
